Input,Target,Prediction
sweet pleases heart,sweet pleases heart,sweet pleases heart
begets deity birth / god gives life / (spirit) ka,god / deity gives birth / begets life ka (spirit),god / deity gives birth / begets life ka (spirit)
slope youth desert climb,youth climb desert slope,youth climb desert slope
rack in servant a carries jar the,the servant carries a jar in rack,the servant carries a jar in rack
a youth under sees brick cobra the the,a youth sees the cobra under the brick,a youth sees the cobra under the brick
return retreat back gate / / to town behind,to return / retreat behind / back gate town,to return / retreat behind / back gate town
bolt hand door makes,hand makes door bolt,hand makes door bolt
field plows strong man great,strong man plows great field,strong man plows great field
the ka of spirit becomes bird a fire,the spirit ka becomes a bird of fire,the spirit ka becomes a bird of fire
strength great becomes power mighty,mighty power becomes great strength,mighty power becomes great strength
/ to hand brick do make stone forearm strong,forearm strong hand to do / make stone brick,forearm strong hand to do / make stone brick
djed throne sits king seat stability,king sits throne seat stability djed,king sits seat throne stability djed
sees man rib the side of a ox,a man sees the side rib of ox,a man sees the side rib of ox
master all venerated on stone of offering give the altar,venerated master of all give offering on the stone altar,venerated master of all give offering on the stone altar
life people love,people love life,people love life
people temple gather,people gather temple,people gather temple
loves youth (truth/maat) feather,youth loves feather (truth/maat),youth loves feather (truth/maat)
to mother youth beautiful father and give thing young the,father and mother give beautiful thing to the young youth,father and mother give beautiful thing to the young youth
with the servant plows field power the,the servant plows the field with power,the servant plows the field with power
/ mighty strong / thing make do forearm to hand great,forearm strong hand to do / make thing great / mighty,forearm strong hand to do / make thing great / mighty
of the good heart the is very king,the heart of the king is very good,the heart of the king is very good
face eye upon,eye face upon,eye face upon
road a youth finds the town to,the youth finds a road to town,the youth finds a road to town
above of riverbank road the great ba fly father soul,soul ba of father fly above the great riverbank road,soul ba of father fly above the great riverbank road
animal fasten rope man tethering,man fasten tethering rope animal,man fasten tethering rope animal
the the hill mighty authority above god stay of desert,mighty authority of the god stay above the desert hill,mighty authority of the god stay above the desert hill
authority every lord,authority lord every,authority lord every
god gate house protects,god protects house gate,god protects house gate
god in temple,god in temple,god in temple
sees youth adze,youth sees adze,youth sees adze
sky good star youth great sees / beautiful / big,beautiful / good youth sees great / big star sky,beautiful / good youth sees great / big star sky
law scribe of mouth of writing do hear people and,scribe hear mouth of people and do writing of law,scribe hear mouth of people and do writing of law
snake ripple underground emerge water lake,underground lake water ripple snake emerge,underground lake water ripple snake emerge
great returns a to servant the house,a servant returns to the great house,a servant returns to the great house
on play riverbank senet road lord board the venerated the,venerated lord play the senet board on the riverbank road,venerated lord play the senet board on the riverbank road
makes a brick wall the scribe of,the scribe makes a wall of brick,the scribe makes a wall of brick
life god / people deity birth gives great,great god / deity gives birth life people,great god / deity gives birth life people
woman sees star beautiful,woman sees beautiful star,woman sees beautiful star
makes god mountain,god makes mountain,god makes mountain
the of is above mountain star the fire,the star is above the mountain of fire,the star is above the mountain of fire
man house adze stone sees brick above chisel hoe sickle,man sees sickle hoe adze chisel above brick stone house,man sees sickle hoe adze chisel above stone brick house
mighty the power authority lord of of stay life with,mighty power of authority stay with the lord of life,mighty power of authority stay with the lord of life
sweet becomes life,life becomes sweet,life becomes sweet
ba honor people soul,people honor soul ba,people honor soul ba
climb slope youth hill,youth climb hill slope,youth climb hill slope
and thing do hear mouth scribe writing of master of,scribe hear mouth of master and do writing of thing,scribe hear mouth of master and do writing of thing
desert snake fear cobra people,people fear snake cobra desert,people fear snake cobra desert
swallow head of chick owl bird head quail eye ox of,quail chick swallow head of bird head of ox owl eye,quail chick swallow head of bird head of ox owl eye
strength force cobra power god / snake fear,cobra fear power god snake strength / force,cobra fear power god snake strength / force
grandfather great / (djed) town house / pillar stability city,stability (djed) pillar / grandfather house city / town great,stability (djed) pillar / grandfather house city / town great
throne chisel a with a the makes man,a man with a chisel makes the throne,a man with a chisel makes the throne
servant gate temple open,servant open temple gate,servant open temple gate
(ankh) power gives life,life (ankh) gives power,life (ankh) gives power
lord ankh the to people give town life every of,lord of every town give life ankh to the people,lord of every town give life ankh to the people
/ upon back side / / behind face rib underground horizon above star,above behind / back face / upon side / rib underground horizon star,above behind / back face / upon side / rib underground horizon star
/ youth eats pellet grain,youth eats grain / pellet,youth eats grain / pellet
plant servant bring lotus,servant bring lotus plant,servant bring lotus plant
father of bread gives loaf a the,the father gives a loaf of bread,the father gives a loaf of bread
river city flows life bringing beside,river flows beside city bringing life,river flows beside city bringing life
scribe uses a stone on the chisel a,a scribe uses a chisel on the stone,a scribe uses a chisel on the stone
life protection snake fear cobra power god,snake cobra fear power god protection life,snake cobra fear power god protection life
king / good beauty speaks,king speaks beauty / good,king speaks beauty / good
jar in satisfy milk vessel jars rack jar / offering peace,vessel jar milk jar jars in rack offering peace / satisfy,vessel jar milk jar jars in rack offering peace / satisfy
on master skins back three the the stay fox of,three fox skins stay on the back of the master,three fox skins stay on the back of the master
king becomes god,king becomes god,king becomes god
sickle servant field / youth grain man people pellet cut,sickle cut grain / pellet field servant man people youth,sickle cut grain / pellet field servant man people youth
adze on an master the brick uses,the master uses an adze on brick,the master uses an adze on brick
scroll woman papyrus see,woman see papyrus scroll,woman see papyrus scroll
single scribe stroke sees,scribe sees single stroke,scribe sees single stroke
feeds plant people,plant feeds people,plant feeds people
of animal stay rib on ox altar belly and side,animal belly and side rib of ox stay on altar,animal belly and side rib of ox stay on altar
drink ripple lake man,man drink lake ripple,man drink lake ripple
sits beside remembering old man quietly youth lake,old man sits beside lake remembering youth quietly,old man sits beside lake remembering youth quietly
ring youth father to gives a the the,the father gives a ring to the youth,the father gives a ring to the youth
god people sky protect,god protect sky people,god protect sky people
build the wall a thousand of bricks house,a thousand bricks build the wall of house,a thousand bricks build the wall of house
king back road above / mighty chisel behind adze sees city temple stone,king sees adze chisel above stone behind / back mighty temple road city,king sees adze chisel above stone behind / back mighty temple road city
hill climb mountain man,man climb mountain hill,man climb mountain hill
master house a the loaf eats the of,the master of the house eats a loaf,the master of the house eats a loaf
soul bird the of to ba people like sky fly,soul ba of the people fly like bird to sky,soul ba of people fly to the sky like bird
sees mountain soul back / above god (ba) great behind,god sees soul (ba) above great mountain behind / back,god sees soul (ba) above great mountain behind / back
finds great the lord house the of peace,the lord of the house finds great peace,the lord of the house finds great peace
opens horizon sky god,god opens horizon sky,god opens horizon sky
sweet man offering bring,man bring sweet offering,man bring sweet offering
no negation can snake hide the from king of eye,negation no snake can hide from the eye of king,negation no snake can hide from the eye of king
/ throne throne seat power sedge strength / authority he king force (king) /,he / king sedge (king) throne seat / throne authority power strength / force,sedge (king) he / king throne seat / throne authority power strength / force
protect west god town,god protect west town,god protect west town
house contains family,house contains family,house contains family
great upon the king seat throne the sits,the great king sits upon the throne seat,the great king sits upon the throne seat
sky watch swallow man,man watch swallow sky,man watch swallow sky
truth / deity / behind face god / sees upon man back beautiful,god / deity sees truth behind / back face / upon beautiful man,god / deity sees truth behind / back face / upon beautiful man
youth authority follows father,youth follows father authority,youth follows father authority
riverbank river near,river near riverbank,river near riverbank
bread offer people god,people offer bread god,people offer bread god
opens man door,man opens door,man opens door
gather papyrus clump people writing,people gather papyrus clump writing,people gather papyrus clump writing
mat mother on holding sleeping child rests,mother rests on mat holding sleeping child,mother rests on mat holding sleeping child
god twisted scribe binds for flax a the,a scribe binds the twisted flax for god,a scribe binds the twisted flax for god
of head scribe ox sees,scribe sees head of ox,scribe sees head of ox
become star life horizon scarab emerge ankh,become scarab emerge life ankh horizon star,become scarab emerge life ankh horizon star
hears mother youth,mother hears youth,mother hears youth
offering hears god,god hears offering,god hears offering
temple river near,temple near river,temple near river
the crawls viper stone brick horned a near,a horned viper crawls near the stone brick,a horned viper crawls near the stone brick
great heart the hears god speaks the,the great god hears the heart speaks,the great god hears the heart speaks
owl swallow star man sky hears,man hears owl swallow sky star,man hears owl swallow sky star
road woman walk lake,woman walk lake road,woman walk lake road
thousand a god things the great gives,the great god gives a thousand things,the great god gives a thousand things
people (no/not) / heart life / do / house drink negation offering speak god eat peace satisfy,negation (no/not) do eat / drink / speak offering life peace / satisfy heart people house god,negation (no/not) do eat / drink / speak offering life peace / satisfy heart people house god
/ mighty life / people lord (lord) throne stability great ring (djed) all master authority (every) every power /,ring authority power lord / every master (lord) / all (every) people life stability (djed) throne great / mighty,ring authority power lord / every master (lord) / all (every) people life stability (djed) throne great / mighty
gate temple people open,people open temple gate,people open temple gate
desert hill sky horizon mountain above slope,sky above mountain desert hill slope horizon,sky above mountain desert hill slope horizon
marrow youth / father birth gives mother venerated life (ankh) / begets,venerated / marrow father mother youth gives birth / begets life (ankh),venerated / marrow father mother youth gives birth / begets life (ankh)
people watch god life,god watch people life,god watch people life
a finds youth sickle in the house,the youth finds a sickle in house,the youth finds a sickle in house
youth / like / venerated example) marrow father as become (or heart,youth become venerated / marrow like / as (or example) father heart,youth become venerated / marrow like / as (or example) father heart
book scroll papyrus,book papyrus scroll,papyrus scroll book
of ka beautiful mother of the face spirit sees god,spirit ka of mother sees the beautiful face of god,spirit ka of mother sees the beautiful face of god
writing / stroke papyrus marker) scribe book stroke scribe (plural single thing,single stroke stroke (plural marker) thing writing / scribe book scribe papyrus,single stroke stroke (plural marker) thing writing / scribe book scribe papyrus
field plows servant hoe,servant plows field hoe,servant plows field hoe
hill god desert see,god see desert hill,god see desert hill
climb youth hill stone,youth climb stone hill,youth climb hill stone
walks hill desert road man,man walks road desert hill,man walks road desert hill
bread offer god people,people offer bread god,people offer bread god
rack stone in ring stone vessel jars jar,ring stone vessel jar jars in rack stone,ring stone vessel jar jars in rack stone
road of makes the king a brick,the king makes a road of brick,the king makes a road of brick
stay on adze the the near horizon chisel brick and,chisel and adze stay on the brick near the horizon,chisel and adze stay on the brick near the horizon
sky youth gives birth / as example) mother good star beautiful / (or begets / like,mother gives birth / begets youth like / as (or example) beautiful / good star sky,mother gives birth / begets youth like / as (or example) beautiful / good star sky
/ content people he / authority (satisfied) peace / (or exists gate is power house life found) / king great opens mighty,he / king opens / exists (or is found) gate house people peace / content (satisfied) authority power life great / mighty,he / king opens / exists (or is found) gate house people peace / content (satisfied) authority power life great / mighty
mighty behind above throne man feather good beautiful / god back (truth/maat) / great sees /,god sees beautiful / good feather (truth/maat) above man behind / back great / mighty throne,god sees beautiful / good feather (truth/maat) above man behind / back great / mighty throne
to spirit god give people ka life the ankh of,spirit ka of god give life ankh to the people,spirit ka of god give life ankh to the people
cuts sickle ripe grain field,sickle cuts ripe field grain,sickle cuts ripe field grain
grain man lift sack,man lift grain sack,man lift grain sack
seated of life the woman lord stability to djed give,lord of life give stability djed to the seated woman,lord of life give stability djed to the seated woman
become god great deity scarab king,become scarab great deity god king,become scarab great deity god king
star temple above,star above temple,star above temple
great man plows strength the with field a,a man plows the field with great strength,a man plows the field with great strength
with stone man of the strength use adze backbone on,man with backbone of strength use adze on the stone,man with backbone of strength use adze on the stone
king heart hears god voice people,king hears voice heart people god,king hears heart voice people god
/ content (satisfied) god loves peace,god loves peace / content (satisfied),god loves peace / content (satisfied)
flies beautiful city the the swallow to,the beautiful swallow flies to the city,the beautiful swallow flies to the city
the hare plant runs to desert green the,the desert hare runs to the green plant,the desert hare runs to the green plant
the the plows earth master now repeated,the master plows repeated the earth now,the master plows repeated the earth now
bird head water lake swallow of river ripple riverbank,riverbank river lake water ripple swallow head of bird,riverbank river lake water ripple swallow head of bird
all) (lord good beautiful / thing / basket,basket (lord / all) thing beautiful / good,basket (lord / all) thing beautiful / good
woman walks house behind,woman walks behind house,woman walks behind house
field river / swallow papyrus behind scribe owl back clump sees above lake,scribe sees owl swallow above papyrus clump behind / back river lake field,scribe sees owl swallow above papyrus clump behind / back river lake field
deity god / great fire (no/not) storm mighty fear negation /,negation (no/not) fear storm fire great / mighty god / deity,negation (no/not) fear storm fire great / mighty god / deity
/ sees great deity mother sky become horizon youth / god big,mother sees youth become great / big god / deity sky horizon,mother sees youth become great / big god / deity sky horizon
swallow river lotus riverbank head ripple owl lake water plant,river riverbank lake water ripple lotus plant swallow owl head,river riverbank lake water ripple lotus plant swallow owl head
face sweet temple upon jar / altar milk peace /,sweet milk jar face / upon peace / altar temple,sweet milk jar face / upon peace / altar temple
with offering people honor god,people honor god with offering,people honor god with offering
sees desert man hill,man sees desert hill,man sees desert hill
a woman gives to the father ring,the father gives a ring to woman,the father gives a ring to woman
(lord / basket gives king all),king gives basket (lord / all),king gives basket (lord / all)
woman offering brings temple,woman brings offering temple,woman brings offering temple
sees mother belly animal,mother sees animal belly,mother sees animal belly
eats loaf of bread mother,mother eats loaf of bread,mother eats loaf of bread
jar stores pellet food grain,jar stores grain pellet food,jar stores grain pellet food
on stool near the stone stay chisel adze and mat,chisel and adze stay on the stool mat near stone,chisel and adze stay on the stool mat near stone
give the sweet life plant river to the water from,sweet water from the river give life to the plant,sweet water from the river give life to the plant
ripple pellet river field water / grain,river water ripple field grain / pellet,river water ripple field grain / pellet
the venerated hear of voice the soul father ba bird,venerated father hear the voice of the soul ba bird,venerated father hear the voice of the soul ba bird
youth give mother peace,mother give youth peace,mother give youth peace
the the people hears town in lord,the lord hears the people in town,the lord hears the people in town
throne seat authority king builds power /,king builds seat / throne authority power,king builds seat / throne authority power
coil of hand rope ring twisted flax rope thing,twisted flax rope coil of rope ring thing hand,twisted flax rope coil of rope ring thing hand
protects people power,power protects people,power protects people
peace vessel altar / offering jar jar milk,jar vessel milk jar offering peace / altar,loaf / altar offering milk jar vessel jar
man becomes king great,man becomes great king,man becomes great king
youth / god sees above good / beautiful face truth / upon deity,god / deity sees truth above face / upon beautiful / good youth,god / deity sees truth above face / upon beautiful / good youth
door cobra from the the bolt emerges,the cobra emerges from the door bolt,the cobra emerges from the door bolt
great people king every love,every people love great king,every people love great king
scribe sees eye,scribe sees eye,scribe sees eye
hill god watch sky,god watch hill sky,god watch hill sky
speak people joy sing heart,people sing speak joy heart,people sing speak joy heart
god vessel offering,vessel offering god,vessel offering god
town sees king,king sees town,king sees town
upon woman face walks,woman walks face upon,woman walks face upon
senet a board with the scribe king plays,a scribe plays senet board with the king,a scribe plays senet board with the king
/ strong strength great force power god,god power strength / force strong great,god power strength / force strong great
peace spirit the finds ka in house the,the spirit ka finds peace in the house,the spirit ka finds peace in the house
gives ring father,father gives ring,father gives ring
satisfy peace / milk vessel jar jar,vessel jar milk jar peace / satisfy,vessel jar milk jar peace / satisfy
as (or house stool scribe scroll scribe writing like book papyrus / / example) mat,scribe writing / scribe papyrus scroll book like / as (or example) stool mat house,scribe writing / scribe papyrus scroll book like / as (or example) stool mat house
satisfied heart grant god peace,god grant peace satisfied heart,god grant peace satisfied heart
to of man wood use shape vessel adze the the,man use adze to shape the wood of the vessel,man use adze to shape the wood of the vessel
mat senet stool / woman life seated board (ankh),senet board stool / mat seated woman life (ankh),senet board stool / mat seated woman life (ankh)
sits desert a hare behind the slope hill,a desert hare sits behind the hill slope,a desert hare sits behind the hill slope
life soul ba peace god heart satisfy,peace satisfy heart life soul ba god,peace satisfy heart life soul ba god
old truth the of hears voice the man,the old man hears the voice of truth,the old man hears the voice of truth
soul ba renews god,god renews soul ba,god renews soul ba
horizon / emerge / good behind sky back beautiful (ba) soul,beautiful / good soul (ba) emerge behind / back sky horizon,beautiful / good soul (ba) emerge behind / back sky horizon
grain sickle / pellet cuts,sickle cuts grain / pellet,sickle cuts grain / pellet
life strong god grant,god grant strong life,god grant strong life
mother youth hold spirit,mother hold youth spirit,mother hold youth spirit
eat hill mother of and bread desert loaf near youth,mother and youth eat loaf of bread near desert hill,mother and youth eat loaf of bread near desert hill
peace fills heart,peace fills heart,peace fills heart
god great gives life,great god gives life,great god gives life
hill road mountain man seated desert town see,seated man see mountain desert hill road town,seated man see mountain desert hill road town
sees servant riverbank,servant sees riverbank,servant sees riverbank
for a king thousand jars are grain of,a thousand jars of grain are for king,a thousand jars of grain are for king
/ life leads trade people road town town city,road leads town city / town people trade life,road leads town city / town people trade life
water woman open jar,woman open jar water,woman open jar water
love mother guide youth,mother guide youth love,mother guide youth love
people desert across road follow,people follow road across desert,people follow road across desert
owl hears night sky seated call woman at,seated woman hears owl call at night sky,seated woman hears owl call at night sky
handle man basket carries with,man carries basket with handle,man carries basket with handle
altar heart conical peace offering loaf satisfy,conical loaf offering peace altar heart satisfy,conical loaf offering peace altar heart satisfy
back mighty gate city emerge great / above behind people road /,people emerge above road behind / back great / mighty gate city,people emerge above road behind / back great / mighty city gate
man servant field grain cut pellet sickle,sickle cut grain pellet field servant man,sickle cut grain pellet field servant man
power youth strong,youth strong power,youth strong power
grain pellet man bread eats,man eats grain pellet bread,man eats grain pellet bread
behind lotus lake sees above back woman beautiful / plant plant,woman sees lotus plant above lake behind / back beautiful plant,woman sees lotus plant above lake behind / back beautiful plant
hide cobra hill stone,cobra hide stone hill,cobra hide stone hill
gives order djed,djed gives order,djed gives order
in the scribe bread gate the eats,the scribe eats bread in the gate,the scribe eats bread in the gate
of master the heart the hears man,the master hears the heart of man,the master hears the heart of man
father peace mother house altar / offering,father mother house peace / altar offering,father mother house peace / altar offering
to altar above stone make do offering / servant temple peace /,servant to do / make offering above peace / altar stone temple,servant to do / make offering above peace / altar stone temple
city king protects people,king protects city people,king protects city people
the near hill man plows field desert slope strong the,strong man plows the field near the desert hill slope,strong man plows the field near the desert hill slope
side back / face behind horizon / rib underground above sky upon /,above behind / back face / upon side / rib underground horizon sky,above behind / back face / upon side / rib underground horizon sky
strength power hand forearm life authority king / force,forearm hand strength / force power authority life king,forearm hand power authority life king
a bread basket woman finds the of,the woman finds a basket of bread,the woman finds a basket of bread
seated listens man,seated man listens,seated man listens
god behind king gate throne back / city / seated great king mighty above /,king seated god / king above throne behind / back great / mighty gate city,king seated god / king above throne behind / back great / mighty gate city
order peace gives,order gives peace,order gives peace
power (spirit) town upon city face / above king stability gate ka (djed),stability (djed) power ka (spirit) above face / upon king city town gate,stability (djed) power ka (spirit) above face / upon king city town gate
truth measures feather,feather measures truth,feather measures truth
twisted binds man a for flax rope the,a man binds the twisted flax for rope,a man binds the twisted flax for rope
people king protects city,king protects city people,king protects city people
horizon hear storm woman,woman hear storm horizon,woman hear storm horizon
/ of authority ox god temple strength power head offering life altar peace / force,head of ox strength / force power god temple offering peace / altar life authority,head of ox strength / force power god temple offering peace / altar life authority
stone servant clean stool,servant clean stone stool,servant clean stone stool
jar to milk offering above jar altar king give stone,king to give offering jar milk jar above stone altar,king give offering jar milk jar above stone altar
beautiful heart mother house / love (satisfied) life milk sweet youth peace / good content jar,milk jar mother youth life love sweet house peace / content (satisfied) heart beautiful / good,milk jar mother youth life love sweet house peace / content (satisfied) heart beautiful / good
king commands the man servant,the king commands servant man,the king commands servant man
of hears life word the heart the,the heart hears the word of life,the heart hears the word of life
brick house makes scribe,scribe makes brick house,scribe makes house brick
rack servant jars sees,servant sees jars rack,servant sees jars rack
pellet / servant field grain plows hoe man (tills),hoe plows (tills) grain / pellet field servant man,hoe plows (tills) grain / pellet field servant man
the scribe the for the book mother reads,the scribe reads the book for the mother,the scribe reads the book for the mother
people river cross rope,people cross rope river,people cross river rope
/ heart pellet / grain thousand peace altar offering,thousand grain / pellet offering peace / altar heart,thousand grain / pellet offering peace / altar heart
walk west people river,people walk river west,people walk river west
mother milk give jar,mother give milk jar,mother give milk jar
and healthy mother become sees strong child,mother sees child become strong and healthy,mother sees child become strong and healthy
hears club youth,youth hears club,youth hears club
senet finds board youth,youth finds senet board,youth finds senet board
god soul hear heart,god hear heart soul,god hear heart soul
master lord people,master lord people,master lord people
chick sees small quail the the youth,the youth sees the small quail chick,the youth sees the small quail chick
open sweet woman milk life jar,woman open jar sweet milk life,woman open jar sweet milk life
scribe a book truth finds in the the,a scribe finds the truth in the book,a scribe finds the truth in the book
/ content god (satisfied) loves peace,god loves peace / content (satisfied),god loves peace / content (satisfied)
ripple water river people drink,people drink water ripple river,people drink water ripple river
a the plants master thousand sees lotus,the master sees a thousand lotus plants,the master sees a thousand lotus plants
life every the town to ankh lord give of people,lord of every town give life ankh to the people,lord of every town give life ankh to the people
woman / door love life bolt (satisfied) gate house peace content woman seated,woman seated woman house gate door bolt life love peace / content (satisfied),woman seated woman house gate door bolt life love peace / content (satisfied)
king truth on do hear writing scribe and throne for,scribe hear truth and do writing for king on throne,scribe hear truth and do writing for king on throne
riverbank water ripple lake swallow river plant lotus,river riverbank lake water ripple lotus plant swallow,river riverbank lake water ripple lotus plant swallow
god see city town,god see city town,god see city town
storm people fear,people fear storm,people fear storm
god become scarab,scarab become god,scarab become god
servant sees pool,servant sees pool,servant sees pool
house in seated the bread eats man,the seated man eats bread in house,the seated man eats bread in house
/ good to scribe back / make scribe riverbank / behind do road writing beautiful /,scribe to do / make writing / scribe behind / back beautiful / good riverbank road,scribe to do / make writing / scribe behind / back beautiful / good riverbank road
truth mouth feather speaks,mouth speaks feather truth,mouth speaks feather truth
satisfied water life drink man,man drink water life satisfied,man drink water life satisfied
city above and people great power king holds,king holds power above city and people great,king holds power above city and people great
horizon hill above desert great,great horizon above desert hill,great horizon above desert hill
mother / shelter youth woman back sweet behind bread loaf reed,woman mother youth behind / back reed shelter sweet loaf bread,woman mother youth behind / back reed shelter sweet loaf bread
house temple god,temple house god,temple house god
old marrow like as venerated example) man father / (or become / youth,youth become old man like / as (or example) venerated / marrow father,youth become old man like / as (or example) venerated / marrow father
man loves seated woman,woman loves seated man,man loves seated woman
skins the the fox three sees master,the master sees the three fox skins,the master sees the three fox skins
see scarab become / life man,man see scarab / become life,man see scarab / become life
mountain fear hill beauty desert sky silence,mountain hill desert silence fear beauty sky,mountain hill desert silence fear beauty sky
watches swallow sky god star,god watches star sky swallow,god watches star sky swallow
from hill great flies desert the a swallow,a swallow flies from the great desert hill,a swallow flies from the great desert hill
lord people every,lord every people,lord every people
conical and servant carry to jar loaf king milk the,servant carry milk jar and conical loaf to the king,servant carry milk jar and conical loaf to king
like of swallow the to ba mountain fly soul father,soul ba of father fly like swallow to the mountain,soul ba of father fly like swallow to the mountain
house woman snake sees in the no,the woman sees no snake in house,the woman sees no snake in house
rest people under tree,people rest under tree,people rest under tree
city protect god sky,god protect sky city,god protect sky city
ka holds heart,heart holds ka,heart holds ka
of town the the great of mouth scribe hear king,scribe of town hear the mouth of the great king,scribe of town hear the mouth of the great king
seat the king sits throne,the king sits seat throne,the king sits seat throne
writing open book scribe read man,man open book read writing scribe,man open book read writing scribe
above desert emerges snake,snake emerges above desert,snake emerges above desert
satisfy love sweet peace seated woman lotus / plant,seated woman love lotus plant sweet peace / satisfy,seated woman love lotus plant sweet peace / satisfy
king retreat back / city road road / behind return to mountain town gate,king to return / retreat behind / back mountain road city town road gate,king to return / retreat behind / back mountain road city town road gate
strong great man field the river near the repeated plows,strong man plows repeated the field near the great river,strong man plows repeated the field near the great river
through god sees eye,god sees through eye,god sees through eye
writing / scribe sees scribe,scribe sees scribe / writing,scribe sees scribe / writing
club hears youth,youth hears club,youth hears club
becoming life creates,becoming creates life,becoming creates life
field plow people,people plow field,people plow field
brings favor life,favor brings life,favor brings life
/ venerated strength marrow,venerated / marrow strength,venerated / marrow strength
jar youth life strong milk give heart,milk jar give life youth strong heart,milk jar give life youth strong heart
desert town road,road desert town,road desert town
slope king hill sees,king sees hill slope,king sees hill slope
life star sky emerge light horizon god,horizon sky star light god emerge life,horizon sky star light god emerge life
people in see sky star,people see star in sky,people see star in sky
papyrus the water near grow and plant lake clump lotus,lotus plant and papyrus clump grow near the lake water,lotus plant and papyrus clump grow near the lake water
makes papyrus great scroll scribe,great scribe makes papyrus scroll,great scribe makes papyrus scroll
pillar djed stability,stability djed pillar,djed pillar stability
sees throne man seated,seated man sees throne,seated man sees throne
the scribe of the head finds bird,the scribe finds the head of bird,the scribe finds the head of bird
man carry rope vessel,man carry rope vessel,man carry rope vessel
an offering gives the grain of king,the king gives an offering of grain,the king gives an offering of grain
as father become sees like marrow youth / mother venerated /,mother sees youth become venerated / marrow like / as father,mother sees youth become venerated / marrow like / as father
/ back book scribe house sees all) above basket behind / (lord,scribe sees book above basket (lord / all) behind / back house,scribe sees book above basket (lord / all) behind / back house
rib placenta heart backbone / life belly animal side,animal belly backbone side / rib placenta heart life,animal belly backbone side / rib placenta heart life
youth snake desert sees,youth sees desert snake,youth sees desert snake
desert viper people fear horned snake,people fear horned viper snake desert,people fear horned viper snake desert
people from drink jar,people drink from jar,people drink from jar
/ life (ankh) upon all) face animal god belly / (lord basket,basket (lord / all) face / upon animal belly life (ankh) god,basket (lord / all) face / upon animal belly life (ankh) god
pilgrims enter temple,pilgrims enter temple,pilgrims enter temple
power stability gives,stability gives power,stability gives power
reed do scribe the leaf use in book writing to,scribe use reed leaf to do writing in the book,scribe use reed leaf to do writing in the book
horned guards viper,horned viper guards,horned viper guards
field seed plant man life,man plant seed field life,man plant seed field life
scribe writing / scroll scribe book papyrus,scribe papyrus scroll writing / scribe book,scribe writing / scribe papyrus scroll book
and stay on belly the offering rib altar animal side,side rib and animal belly stay on the offering altar,animal belly and side rib stay on the offering altar
makes a brick king the of throne,the king makes a throne of brick,the king makes a throne of brick
stone house good beautiful sees / above horizon king great,king sees great stone house above beautiful / good horizon,king sees great stone house above beautiful / good horizon
makes writing scribe,scribe makes writing,scribe makes writing
holds wisdom book,book holds wisdom,book holds wisdom
the city people king protects,the king protects city people,the king protects city people
man a his of strength backbone the is,the backbone of a man is his strength,the backbone of a man is his strength
altar milk rack jars peace jar in offering / vessel jar,milk jar vessel jar jars in rack offering peace / altar,milk jar vessel jar jars in rack offering peace / altar
shapes god mountain stone,god shapes stone mountain,god shapes stone mountain
servant river gate open,servant open river gate,servant open river gate
of bird man head sees,man sees head of bird,man sees head of bird
stool / house scribe sees mat behind book above town / back,scribe sees book above stool / mat behind / back house town,scribe sees book above stool / mat behind / back house town
become scarab great man heart god life,scarab become life heart man great god,scarab become life heart man great god
horned emerges viper hill,horned viper emerges hill,horned viper emerges hill
bread youth loaf eats of,youth eats loaf of bread,youth eats loaf of bread
house stone / life town people city brick,brick stone house city / town people life,brick stone house city / town people life
ankh seated woman peace the give life to of lord,lord of life ankh give peace to the seated woman,lord of life ankh give peace to the seated woman
riverbank with field strong the hoe the plows man tills,strong man with the hoe plows tills the field riverbank,strong man with the hoe plows tills the field riverbank
desert people storm fire hill fear,people fear storm fire desert hill,people fear storm fire desert hill
voice from mouth hears man,man hears voice from mouth,man hears voice from mouth
papyrus with basket scroll house town scribe handle road above to give,scribe to give papyrus scroll above basket with handle house town road,scribe to give papyrus scroll above basket with handle house town road
gate city stone / bolt house door brick town,door bolt gate house brick stone city / town,door bolt gate house brick stone city / town
power of words king speaks the,the king speaks words of power,the king speaks words of power
fears storm servant,servant fears storm,servant fears storm
grain bird pellet eats,bird eats grain pellet,bird eats grain pellet
sits writing words sacred on stool scribe,scribe sits on stool writing sacred words,scribe sits on stool writing sacred words
sky great rules god,great god rules sky,great god rules sky
rope a lies basket behind coil the of,a coil of rope lies behind the basket,a coil of rope lies behind the basket
finds ripple water lake,water ripple finds lake,water ripple finds lake
city to retreat west king above mountain face return / road,king to return / retreat west mountain road above face city,king to return / retreat west mountain road above face city
city road people gate town follow,people follow road gate city town,people follow road gate town city
watches west sky swallow star god,god watches star sky swallow west,god watches star swallow sky west
is cold the on stone belly the animal,the animal belly is on the cold stone,the animal belly is on the cold stone
mountain horizon above,above mountain horizon,mountain above horizon
book papyrus scroll / man seated scribe writing temple life people,writing / scribe seated man papyrus scroll book temple people life,writing / scribe seated man papyrus scroll book temple people life
shelter near reed plant lotus the grows a,a lotus plant grows near the reed shelter,a lotus plant grows near the reed shelter
order divine people follow,people follow divine order,people follow divine order
teach listen hear father son,father teach son hear listen,father teach son hear listen
adze gives god,god gives adze,god gives adze
(every) master (lord) scribe / hears all,scribe hears master (lord) / all (every),scribe hears master (lord) / all (every)
