Input,Target,Prediction
people god honor,people honor god,people honor god
man sees old / deity god,old man sees god / deity,old man sees god / deity
plows riverbank servant,servant plows riverbank,servant plows riverbank
ensures order maat,maat ensures order,maat ensures order
king truth hears,king hears truth,king hears truth
woman sees owl,woman sees owl,woman sees owl
senet sees board youth,youth sees senet board,youth sees senet board
rope tethering makes father,father makes tethering rope,father makes tethering rope
hears people woman,woman hears people,woman hears people
ka father (spirit) loves,father loves ka (spirit),father loves ka (spirit)
speaks mouth truth,mouth speaks truth,mouth speaks truth
town road foot,foot road town,foot road town
jar offering holds,jar holds offering,jar holds offering
life give to,to give life,to give life
gives stability pillar,pillar gives stability,pillar gives stability
world time endures,world endures time,world endures time
respects fear god,fear respects god,fear respects god
scribe hears god,scribe hears god,scribe hears god
of man rope sees coil,man sees coil of rope,man sees coil of rope
man hears owl,man hears owl,man hears owl
sky touches mountain,mountain touches sky,mountain touches sky
sky storm fear,storm sky fear,storm sky fear
father makes with basket handle,father makes basket with handle,father makes basket with handle
inside seat throne,seat inside throne,seat inside throne
retreat / west to return,to return / retreat west,to return / retreat west
servant rib / side sees,servant sees side / rib,servant sees side / rib
scarab life renews,scarab renews life,scarab renews life
power (djed) stability,stability (djed) power,stability (djed) power
wisdom old man,old man wisdom,old man wisdom
watches eye horizon,eye watches horizon,eye watches horizon
horizon above mountain,above mountain horizon,above mountain horizon
horizon god above,god above horizon,god above horizon
eats pellet / grain youth,youth eats grain / pellet,youth eats grain / pellet
town near desert,desert near town,desert near town
every thing lord,thing lord every,thing lord every
backbone king sees,king sees backbone,king sees backbone
lotus life plant,lotus plant life,lotus plant life
recorded book life,life recorded book,life recorded book
peace heart satisfy /,heart peace / satisfy,heart peace / satisfy
people holds city,city holds people,city holds people
child becomes youth,child becomes youth,child becomes youth
life (spirit) ka,ka (spirit) life,ka (spirit) life
see people king,people see king,people see king
lord authority every,authority lord every,authority lord every
offering fire burns,fire burns offering,fire burns offering
scribe book writing,book writing scribe,writing scribe book
pleases sweet heart,sweet pleases heart,sweet pleases heart
altar gives peace,altar gives peace,altar gives peace
makes scribe writing,scribe makes writing,scribe makes writing
above hill desert,above desert hill,above desert hill
god hears offering,god hears offering,god hears offering
life (ankh) sedge (king) loves,sedge (king) loves life (ankh),sedge (king) loves life (ankh)
reed shelter woman sees,woman sees reed shelter,woman sees reed shelter
road between towns,road between towns,road between towns
hears authority heart,heart hears authority,heart hears authority
he great king,he king great,he king great
god gives ankh,god gives ankh,god gives ankh
sees chisel man,man sees chisel,man sees chisel
heart feather (truth/maat),feather (truth/maat) heart,heart feather (truth/maat)
sweet heart pleases,sweet pleases heart,sweet pleases heart
/ upon face sky,sky face / upon,sky face / upon
lake ripple water,lake water ripple,water ripple lake
god become scarab,scarab become god,scarab become god
land above horizon,horizon above land,horizon above land
road walks man,man walks road,man walks road
hear people listen,hear listen people,hear listen people
boat crosses river,boat crosses river,boat crosses river
god life ankh,ankh life god,ankh life god
foot road desert,foot road desert,foot road desert
scribe makes writing,scribe makes writing,scribe makes writing
(spirit) underground ka,ka (spirit) underground,ka (spirit) underground
people holds house,house holds people,house holds people
seated man servant,servant seated man,servant seated man
maat brings order,maat brings order,maat brings order
makes lake king,king makes lake,king makes lake
river town behind,town behind river,town behind river
youth strong power,youth strong power,youth strong power
drink mouth eat speak,mouth eat drink speak,mouth eat drink speak
mountain above horizon,mountain above horizon,mountain above horizon
belly sees mother animal,mother sees animal belly,mother sees animal belly
behind city mountain,city behind mountain,city behind mountain
water drinks ripple man,man drinks water ripple,man drinks water ripple
leaf reed plant,reed leaf plant,reed leaf plant
gives king he,he king gives,he king gives
reed leaf plant,reed leaf plant,reed leaf plant
makes god sky,god makes sky,god makes sky
(ba) loves soul god,god loves soul (ba),god loves soul (ba)
hears woman cobra,woman hears cobra,woman hears cobra
force youth strength,youth strength force,youth strength force
he great king,he king great,he king great
sky storm in,storm in sky,storm in sky
plant field grows,plant grows field,plant grows field
king gives order,king gives order,king gives order
protects town king,king protects town,king protects town
sees forearm king,king sees forearm,king sees forearm
bird of youth head sees,youth sees head of bird,youth sees head of bird
god accepts offering,god accepts offering,god accepts offering
heart king hears,king hears heart,king hears heart
fear people god,people fear god,people fear god
cobra woman hears,woman hears cobra,woman hears cobra
house makes servant,servant makes house,servant makes house
life god ankh,life ankh god,life ankh god
stone cuts chisel,stone cuts chisel,stone cuts chisel
man brick makes old,old man makes brick,old man makes brick
behind gate god,god behind gate,god behind gate
peace seeks heart,heart seeks peace,heart seeks peace
of bread eats loaf youth,youth eats loaf of bread,youth eats loaf of bread
old loves man youth,youth loves old man,youth loves old man
become / scarab life,scarab / become life,scarab / become life
town lord of,lord of town,lord of town
inside palace throne,throne inside palace,throne inside palace
father man becomes,man becomes father,man becomes father
maat obeys heart,heart obeys maat,heart obeys maat
people hear king,people hear king,people hear king
endures world time,world endures time,world endures time
basket every lord,basket lord every,basket lord every
soul ba flies,ba soul flies,ba soul flies
gives stability (djed) god,god gives stability (djed),god gives stability (djed)
speaks seated woman,seated woman speaks,seated woman speaks
town live people,people live town,people live town
gives life god,god gives life,god gives life
lord every thing,thing lord every,lord every thing
order sustains world,order sustains world,order sustains world
servant power authority,servant power authority,servant power authority
people hear god,people hear god,people hear god
gives power stability,stability gives power,stability gives power
field plows tills,field plows tills,plows tills field
sky swallow star,sky star swallow,sky star swallow
brings stability order,order brings stability,order brings stability
love people life,people love life,people love life
heart old wisdom,wisdom heart old,wisdom heart old
sun horizon above,sun above horizon,sun above horizon
with makes mother basket handle,mother makes basket with handle,mother makes basket with handle
man of coil sees rope,man sees coil of rope,man sees coil of rope
great mighty god,great god mighty,great mighty god
hears mother heart,mother hears heart,mother hears heart
desert lives hare,desert hare lives,desert hare lives
sky night owl,owl night sky,owl night sky
sees star eye,eye sees star,eye sees star
sedge (king) throne,sedge (king) throne,sedge (king) throne
book kept temple,book kept temple,book kept temple
earth above sky,sky above earth,sky above earth
conical god loaf gives (give),god gives conical loaf (give),god gives conical loaf (give)
strength god gives,god gives strength,god gives strength
sees scribe book,scribe sees book,scribe sees book
plant mother lotus sees,mother sees lotus plant,mother sees lotus plant
loves (king) (ankh) sedge life,sedge (king) loves life (ankh),sedge (king) loves life (ankh)
king god becomes,king becomes god,king becomes god
throne (king) sedge,sedge (king) throne,sedge (king) throne
jars in rack,jars in rack,jars in rack
ba lives soul,soul ba lives,soul ba lives
star mother sees,mother sees star,mother sees star
deity god throne,throne god deity,throne god deity
lake behind temple,lake behind temple,lake behind temple
(give) loaf gives god conical,god gives conical loaf (give),god gives conical loaf (give)
peace loves / content god (satisfied),god loves peace / content (satisfied),god loves peace / content (satisfied)
/ offering peace altar,peace / altar offering,peace / altar offering
father offering makes,father makes offering,father makes offering
palace near temple,palace near temple,palace near temple
(satisfied) content / heart peace,peace / content (satisfied) heart,peace / content (satisfied) heart
bread of loaf eats man,man eats loaf of bread,man eats loaf of bread
life power ankh,life ankh power,life ankh power
strong king rules,strong king rules,strong king rules
temple god holds,temple holds god,temple holds god
ripple moves water,water ripple moves,water ripple moves
djed pillar stability,stability djed pillar,djed pillar stability
mother sees desert,mother sees desert,mother sees desert
content peace satisfied,peace content satisfied,peace content satisfied
youth gives birth,gives birth youth,gives birth youth
/ strength force / marrow venerated,venerated / marrow strength / force,venerated / marrow strength / force
star temple above,star above temple,star above temple
heart god fear,heart fear god,heart fear god
west town beyond,west beyond town,west beyond town
king backbone sees,king sees backbone,king sees backbone
/ authority lord every,authority lord / every,lord / every authority
hill god makes desert,god makes desert hill,god makes desert hill
mighty / king great,great / mighty king,great / mighty king
desert road town,road desert town,road desert town
fire woman makes,woman makes fire,woman makes fire
sees in jars scribe rack,scribe sees jars in rack,scribe sees jars in rack
scribe water hears ripple,scribe hears water ripple,scribe hears water ripple
people hear listen /,hear / listen people,hear / listen people
youth of head bird sees,youth sees head of bird,youth sees head of bird
soul ba west,west soul ba,soul ba west
sedge king symbol,sedge king symbol,sedge king symbol
(every) master obeys all / servant (lord),servant obeys master (lord) / all (every),servant obeys master (lord) / all (every)
sees mountain father,father sees mountain,father sees mountain
god throne seat,seat throne god,throne seat god
soul returns life,soul returns life,soul returns life
memory holds place,place holds memory,place holds memory
throne god deity,throne god deity,throne god deity
road enters town,road enters town,road enters town
beauty good youth loves /,youth loves beauty / good,youth loves beauty / good
grandfather old pillar man,pillar grandfather old man,pillar grandfather old man
gives jar servant,servant gives jar,servant gives jar
god hears scribe,scribe hears god,scribe hears god
god great power,great god power,great god power
marks place cross,cross marks place,cross marks place
man city people,city people man,city people man
man speaks seated,seated man speaks,seated man speaks
old man remembers,old man remembers,old man remembers
youth becomes god,youth becomes god,youth becomes god
gives father ring,father gives ring,father gives ring
horned viper servant fears,servant fears horned viper,servant fears horned viper
temple sky above,sky above temple,sky above temple
woman eats conical (give) loaf,woman eats conical loaf (give),woman eats conical loaf (give)
book writing scribe,book writing scribe,book writing scribe
land life fills,life fills land,life fills land
water lake holds,lake holds water,lake holds water
love heart life,heart love life,heart love life
authority hears heart,heart hears authority,heart hears authority
protects family father,father protects family,father protects family
plows hill slope servant,servant plows hill slope,servant plows hill slope
mountain behind hill,mountain behind hill,hill behind mountain
man walks road,man walks road,man walks road
makes brick servant,servant makes brick,servant makes brick
father woman mother,woman mother father,woman mother father
kept book temple,book kept temple,book kept temple
god strength of,strength of god,strength of god
snake horned viper,horned viper snake,horned viper snake
strength king force,strength force king,strength force king
foot sees scribe,scribe sees foot,scribe sees foot
handle basket man cuts with,man cuts basket with handle,man cuts basket with handle
behind river city,city behind river,city behind river
mighty great god,great mighty god,great god mighty
sees man owl,man sees owl,man sees owl
/ face upon town,town face / upon,town face / upon
exists thing,thing exists,thing exists
temple house god,temple house god,temple house god
man sees seated throne,seated man sees throne,seated man sees throne
fire strength / force power,fire power strength / force,fire power strength / force
makes offering woman,woman makes offering,woman makes offering
(spirit) ka father loves,father loves ka (spirit),father loves ka (spirit)
sky faces temple,temple faces sky,temple faces sky
writing makes scribe,scribe makes writing,scribe makes writing
scribe writes thing,scribe writes thing,scribe writes thing
hears people woman,woman hears people,woman hears people
built house stone,house built stone,house built stone
king become god,king become god,king become god
holds book wisdom,book holds wisdom,book holds wisdom
gives (ankh) life god,god gives life (ankh),god gives life (ankh)
every lord basket,basket lord every,basket lord every
papyrus scroll writing,papyrus scroll writing,papyrus scroll writing
thing power authority,thing power authority,thing power authority
behind god gate,god behind gate,god behind gate
favor life brings,favor brings life,favor brings life
man sees throne seated,seated man sees throne,seated man sees throne
field grain grows,field grows grain,field grows grain
loves god (ba) soul,god loves soul (ba),god loves soul (ba)
basket handle with,basket with handle,basket with handle
underground west dead,west underground dead,west underground dead
king sees people,king sees people,king sees people
scribe book writing,writing scribe book,writing scribe book
house near road,house near road,house near road
become scarab life,scarab become life,scarab become life
king power strengthens,power strengthens king,power strengthens king
on offering altar,offering on altar,offering on altar
near temple river,temple near river,temple near river
woman loves good beauty /,woman loves beauty / good,woman loves beauty / good
god deity temple,temple god deity,temple god deity
offering holds jar,jar holds offering,jar holds offering
gives tethering rope king,king gives tethering rope,king gives tethering rope
eye god sees,eye sees god,eye sees god
father child mother,father mother child,father mother child
sees horned man viper,man sees horned viper,man sees horned viper
throne sits king,king sits throne,king sits throne
side rib backbone /,side / rib backbone,side / rib backbone
pillar old man grandfather,pillar grandfather old man,pillar grandfather old man
field grain gives,field gives grain,field gives grain
field (tills) plows,plows (tills) field,plows (tills) field
underground (ba) soul,soul (ba) underground,soul (ba) underground
lights star sky,star lights sky,star lights sky
temple face upon,face upon temple,temple face upon
mother plant lotus sees,mother sees lotus plant,mother sees lotus plant
near river lake,river near lake,river near lake
temple gives peace,temple gives peace,temple gives peace
hears god prayer,god hears prayer,god hears prayer
lake river near,river near lake,river near lake
sees star youth,youth sees star,youth sees star
hears man storm,man hears storm,man hears storm
temple people near,people near temple,people near temple
plant lotus life,lotus plant life,lotus plant life
behind desert west,west behind desert,west behind desert
house town brick,brick house town,brick town house
father protects people,father protects people,father protects people
gate has town,town has gate,town has gate
hears youth authority,youth hears authority,youth hears authority
god throne seated,god seated throne,seated god throne
authority king power,authority power king,authority power king
house shelter reed,reed shelter house,reed shelter house
youth sees underground,youth sees underground,youth sees underground
speaks king beauty good /,king speaks beauty / good,king speaks beauty / good
hears mother storm,mother hears storm,mother hears storm
writing scroll papyrus,papyrus scroll writing,papyrus scroll writing
servant / sees side rib,servant sees side / rib,servant sees side / rib
above town star,star above town,star above town
man belly animal sees,man sees animal belly,man sees animal belly
near town river,town near river,town near river
sees horizon youth,youth sees horizon,youth sees horizon
(ba) god soul sees,god sees soul (ba),god sees soul (ba)
peace satisfy love / people,people love peace / satisfy,people love peace / satisfy
hears man owl,man hears owl,man hears owl
power forearm hand,forearm hand power,forearm hand power
upon / sees youth face,youth sees face / upon,youth sees face / upon
sees placenta youth,youth sees placenta,youth sees placenta
loaf hand lifts,hand lifts loaf,hand lifts loaf
servant plows road,servant plows road,servant plows road
king loves authority,king loves authority,king loves authority
god protects people,god protects people,god protects people
field tills plows,plows tills field,plows tills field
people every lord /,lord / every people,lord / every people
in sky star,star in sky,star in sky
town great big,great big town,great big town
shapes power world,power shapes world,power shapes world
temple near river,temple near river,temple near river
jars stored grain,grain stored jars,grain stored jars
temple preserves truth,temple preserves truth,temple preserves truth
gives peace altar,altar gives peace,altar gives peace
vessel holds water,vessel holds water,vessel holds water
vessel holds water,vessel holds water,vessel holds water
conical (give) gives loaf god,god gives conical loaf (give),god gives conical loaf (give)
lord thing every,lord every thing,lord every thing
beautiful town city,beautiful city town,beautiful city town
side / rib backbone,side / rib backbone,side / rib backbone
horizon god makes,god makes horizon,god makes horizon
life (ankh) gives power,life (ankh) gives power,life (ankh) gives power
temple peace / altar,peace / altar temple,peace / altar temple
temple star above,star above temple,star above temple
truth scribe writes,scribe writes truth,scribe writes truth
milk jar drinks youth,youth drinks milk jar,youth drinks milk jar
town road enters,road enters town,road enters town
behind lake mountain,lake behind mountain,lake behind mountain
hand sickle holds,hand holds sickle,hand holds sickle
mountain king sees,king sees mountain,king sees mountain
venerated strength marrow /,venerated / marrow strength,venerated / marrow strength
seated god throne,seated god throne,god seated throne
order maat brings,maat brings order,maat brings order
fire youth sees,youth sees fire,youth sees fire
change brings time,time brings change,time brings change
town beyond west,west beyond town,west beyond town
god emerges horizon,god emerges horizon,god emerges horizon
order stability brings,order brings stability,order brings stability
man seated servant,servant seated man,servant seated man
hears servant master,servant hears master,servant hears master
ankh god gives,god gives ankh,god gives ankh
/ town people city,city / town people,city / town people
people holds house,house holds people,house holds people
temple sky faces,temple faces sky,temple faces sky
servant adze gives,servant gives adze,servant gives adze
man plant cuts,man cuts plant,man cuts plant
drink speak mouth eat,mouth eat drink speak,mouth eat drink speak
eye god sees,eye sees god,eye sees god
father hears servant,father hears servant,father hears servant
beside river road,road beside river,road beside river
/ pillar grandfather temple stone,stone temple pillar / grandfather,stone temple pillar / grandfather
force / fire power strength,fire power strength / force,fire power strength / force
spirit ka / (ba) the soul (the double),ka (the spirit / the double) soul (ba),ka (the spirit / the double) soul (ba)
makes fire woman,woman makes fire,woman makes fire
mother child feeds,mother feeds child,mother feeds child
/ writing scribe records life,writing / scribe records life,writing / scribe records life
/ force / strength venerated marrow,venerated / marrow strength / force,venerated / marrow strength / force
every lord authority,authority lord every,authority lord every
woman owl sees,woman sees owl,woman sees owl
fire god makes,god makes fire,god makes fire
house behind gate,house behind gate,house behind gate
hill sees youth,youth sees hill,youth sees hill
old youth man hears,old man hears youth,old man hears youth
mouth eat drink speak,mouth eat drink speak,mouth eat drink speak
fear feels heart,heart feels fear,heart feels fear
strong become to,to become strong,to become strong
crowns cobra king,cobra crowns king,cobra crowns king
good / woman loves beauty,woman loves beauty / good,woman loves beauty / good
servant lord master,master lord servant,master lord servant
gives he king,he king gives,he king gives
guards throne cobra,cobra guards throne,cobra guards throne
water floats vessel,vessel floats water,vessel floats water
sees slope hill youth,youth sees hill slope,youth sees hill slope
loves beautiful god / good,god loves beautiful / good,god loves beautiful / good
west to return,to return west,to return west
house build people,people build house,people build house
behind riverbank field,riverbank behind field,riverbank behind field
man head sees ox of,man sees head of ox,man sees head of ox
snake temple guards,snake guards temple,snake guards temple
to work do,to do work,to do work
reed shelter sees servant,servant sees reed shelter,servant sees reed shelter
sickle makes father,father makes sickle,father makes sickle
king become god,king become god,king become god
father head sees ox of,father sees head of ox,father sees head of ox
behind mountain sky,mountain behind sky,mountain behind sky
between towns road,road between towns,road between towns
jars sees scribe in rack,scribe sees jars in rack,scribe sees jars in rack
near field river,river near field,river near field
power great god,great god power,great god power
foot road desert,foot road desert,foot road desert
opens man door,man opens door,man opens door
truth maat feather,feather truth maat,feather truth maat
scribe records writing life /,writing / scribe records life,writing / scribe records life
god man old loves,god loves old man,god loves old man
owl sees woman,woman sees owl,woman sees owl
has door gate bolt,gate has door bolt,gate has door bolt
house opens door,door opens house,door opens house
great city becomes,city becomes great,city becomes great
lord / authority every,lord / every authority,lord / every authority
gate town guards,gate guards town,gate guards town
man hears old youth,old man hears youth,old man hears youth
west (ba) seeks soul,soul (ba) seeks west,soul (ba) seeks west
drinks milk man jar,man drinks milk jar,man drinks milk jar
sees scribe leaf reed,scribe sees reed leaf,scribe sees reed leaf
flows river life,life flows river,life flows river
deity offering god /,offering god / deity,offering god / deity
sweet bread offering,sweet bread offering,sweet bread offering
every people / lord,lord / every people,lord / every people
great god king,great god king,great god king
plant clump papyrus,papyrus clump plant,papyrus clump plant
scarab god become,scarab become god,scarab become god
/ rib side servant sees,servant sees side / rib,servant sees side / rib
boat river crosses,boat crosses river,boat crosses river
town city house,city town house,city town house
underground (spirit) ka,ka (spirit) underground,ka (spirit) underground
servant / all (every) sees master (lord),servant sees master (lord) / all (every),servant sees master (lord) / all (every)
placenta sees king,king sees placenta,king sees placenta
writes book scribe,scribe writes book,scribe writes book
future strength builds,strength builds future,strength builds future
work does hand,hand does work,hand does work
youth bread eats,youth eats bread,youth eats bread
placed offering altar,offering placed altar,offering placed altar
throne temple in,throne in temple,throne in temple
drinks child milk,child drinks milk,child drinks milk
stability power gives,stability gives power,stability gives power
woman seated woman,woman seated woman,woman seated woman
door opens bolt,door bolt opens,door bolt opens
sees lotus plant woman,woman sees lotus plant,woman sees lotus plant
sees servant gate,servant sees gate,servant sees gate
offering give to,to give offering,to give offering
(ba) seeks west soul,soul (ba) seeks west,soul (ba) seeks west
plant field grows,field grows plant,plant grows field
ripple river water,river water ripple,water ripple river
truth weighs heart,truth weighs heart,heart weighs truth
servant viper fears horned,servant fears horned viper,servant fears horned viper
god become to,to become god,to become god
behind mountain sky,mountain behind sky,mountain behind sky
god respects fear,fear respects god,fear respects god
all) king (lord / gives basket,king gives basket (lord / all),king gives basket (lord / all)
grain jar / pellet,grain / pellet jar,grain / pellet jar
offering placed altar,offering placed altar,offering placed altar
scroll papyrus writing,papyrus scroll writing,papyrus scroll writing
holds water jar,jar holds water,jar holds water
silence desert holds,desert holds silence,desert holds silence
gate youth sees,youth sees gate,youth sees gate
face eye upon,eye face upon,eye face upon
adze sees man,man sees adze,man sees adze
plows field tills,plows tills field,plows tills field
horned viper man sees,man sees horned viper,man sees horned viper
jar gives mother milk,mother gives milk jar,mother gives milk jar
bird of mother head sees,mother sees head of bird,mother sees head of bird
power shapes world,power shapes world,power shapes world
/ beauty loves mother good,mother loves beauty / good,mother loves beauty / good
speak / mouth eat drink /,mouth eat / drink / speak,mouth eat / drink / speak
handle sees servant basket with,servant sees basket with handle,servant sees basket with handle
scroll papyrus book,book papyrus scroll,book papyrus scroll
people hears scribe,scribe hears people,scribe hears people
power shapes world,power shapes world,power shapes world
life spirit ka,ka spirit life,ka spirit life
gives life father,father gives life,father gives life
pillar djed stability,stability djed pillar,djed pillar stability
grain gives field,field gives grain,field gives grain
grows field grain,field grows grain,field grows grain
scribe scribe writing / writes,scribe writes writing / scribe,scribe writes writing / scribe
eats grain youth / pellet,youth eats grain / pellet,youth eats grain / pellet
woman sees eye,woman sees eye,woman sees eye
mountain desert behind,desert behind mountain,desert behind mountain
bread servant of gives loaf,servant gives loaf of bread,servant gives loaf of bread
servant offering brings,servant brings offering,servant brings offering
water ripple lake,water ripple lake,water ripple lake
life ankh power,life ankh power,life ankh power
hill god makes slope,god makes hill slope,god makes hill slope
temple god house,temple house god,temple house god
heart peace satisfies,peace satisfies heart,peace satisfies heart
road slope hill,hill slope road,hill slope road
make to do,to do make,to do make
water ripple lake,lake water ripple,water ripple lake
fear storm people,people fear storm,people fear storm
god man hears / deity,man hears god / deity,man hears god / deity
desert hill beyond,desert beyond hill,desert beyond hill
mother horizon sees,mother sees horizon,mother sees horizon
becomes life great,life becomes great,life becomes great
order djed gives,djed gives order,djed gives order
scribe loves authority,scribe loves authority,scribe loves authority
wall guards town,wall guards town,wall guards town
gate cobra guards,cobra guards gate,cobra guards gate
altar / offering peace,peace / altar offering,offering peace / altar
vessel jar milk,milk jar vessel,milk jar vessel
cuts papyrus clump father,father cuts papyrus clump,father cuts papyrus clump
sees hill servant desert,servant sees desert hill,servant sees desert hill
rules town king,king rules town,king rules town
horned father sees viper,father sees horned viper,father sees horned viper
of mother bread eats loaf,mother eats loaf of bread,mother eats loaf of bread
maat (djed) stability,maat stability (djed),maat stability (djed)
soul joins ka,ka joins soul,ka joins soul
path hill slope,hill slope path,hill slope path
becoming life creates,becoming creates life,becoming creates life
house behind gate,gate behind house,house behind gate
to do make,to do make,to do make
mother field sees,mother sees field,mother sees field
god respects fear,fear respects god,fear respects god
power gives authority,authority gives power,authority gives power
man forearm hand,hand forearm man,hand forearm man
authority order gives,authority gives order,authority gives order
sees adze man,man sees adze,man sees adze
change becoming brings,change brings becoming,change brings becoming
father people protects,father protects people,father protects people
man old wisdom,old man wisdom,old man wisdom
papyrus clump cuts father,father cuts papyrus clump,father cuts papyrus clump
sees youth father,father sees youth,father sees youth
heart peace satisfy,peace satisfy heart,peace satisfy heart
god throne seated,god seated throne,seated god throne
hears god soul,god hears soul,god hears soul
loaf makes father conical (give),father makes conical loaf (give),father makes conical loaf (give)
life great becomes,life becomes great,life becomes great
rope of man sees coil,man sees coil of rope,man sees coil of rope
leads town road,road leads town,road leads town
mountain behind town,mountain behind town,mountain behind town
woman seated listens,seated woman listens,seated woman listens
life fills land,life fills land,life fills land
jars in rack house,jars in rack house,jars in rack house
king force strength,strength force king,strength force king
old wise man,old man wise,old man wise
hill slope road,hill slope road,hill slope road
father loves king,father loves king,father loves king
riverbank near field,riverbank near field,riverbank near field
loves authority king,king loves authority,king loves authority
near mountain temple,temple near mountain,temple near mountain
upon face gate /,gate face / upon,gate face / upon
above desert hill,above desert hill,above desert hill
place marks cross,cross marks place,cross marks place
temple face upon,temple face upon,temple face upon
above earth sky,sky above earth,sky above earth
old man youth,old man youth,old man youth
deity god man / hears,man hears god / deity,man hears god / deity
work servant does,servant does work,servant does work
scribe sees chisel,scribe sees chisel,scribe sees chisel
drinks milk jar youth,youth drinks milk jar,youth drinks milk jar
holds water jar,jar holds water,jar holds water
stored jars grain,grain stored jars,grain stored jars
pillar / stability grandfather (djed),stability (djed) pillar / grandfather,stability (djed) pillar / grandfather
man snake sees,man sees snake,man sees snake
sees youth senet board,youth sees senet board,youth sees senet board
holds house people,house holds people,house holds people
writing life records,writing records life,writing records life
mother youth loves,mother loves youth,mother loves youth
heart (truth/maat) feather,feather (truth/maat) heart,heart feather (truth/maat)
ripple lake water,lake water ripple,lake water ripple
gives life ankh,life ankh gives,ankh gives life
offering altar peace,offering peace altar,offering peace altar
(spirit) underground ka,ka (spirit) underground,ka (spirit) underground
west behind desert,west behind desert,west behind desert
god gives strength,god gives strength,god gives strength
/ writing scribe book,book writing / scribe,book writing / scribe
/ grain field yields pellet,field yields grain / pellet,field yields grain / pellet
underground soul (ba),soul (ba) underground,soul (ba) underground
upon life road (ankh),life (ankh) upon road,life (ankh) upon road
meets lake river,river meets lake,river meets lake
/ / mouth drink speak eat,mouth eat / drink / speak,mouth eat / drink / speak
book life recorded,life recorded book,life recorded book
river flows life,life flows river,life flows river
house brick town,brick house town,brick town house
strength strong makes,strength makes strong,strength makes strong
gate servant sees,servant sees gate,servant sees gate
youth hears backbone,youth hears backbone,youth hears backbone
throne sedge (king),sedge (king) throne,sedge (king) throne
mat / scribe hears stool,scribe hears stool / mat,scribe hears stool / mat
life heart fills,life fills heart,life fills heart
west beyond underground,underground beyond west,underground beyond west
house town city,city town house,city town house
offering vessel holds,vessel holds offering,vessel holds offering
king sees animal belly,king sees animal belly,king sees animal belly
boat river crosses,boat crosses river,boat crosses river
mother gives birth,mother gives birth,mother gives birth
king loves throne,king loves throne,king loves throne
above river town,town above river,town above river
slope hill desert,hill slope desert,hill slope desert
above star mountain,star above mountain,star above mountain
judgment of heart,judgment of heart,judgment of heart
makes brick servant,servant makes brick,servant makes brick
scribe bird sees of head,scribe sees head of bird,scribe sees head of bird
(truth/maat) maat feather,feather (truth/maat) maat,feather (truth/maat) maat
fear storm people,people fear storm,people fear storm
listen god hear /,hear / listen god,hear / listen god
sees scroll scribe,scribe sees scroll,scribe sees scroll
sees father west,father sees west,father sees west
desert sees servant hill,servant sees desert hill,servant sees desert hill
/ loves peace satisfy god,god loves peace / satisfy,god loves peace / satisfy
of bread eats loaf mother,mother eats loaf of bread,mother eats loaf of bread
servant flax twisted sees,servant sees twisted flax,servant sees twisted flax
mountain above horizon,horizon above mountain,mountain above horizon
peace youth / satisfy loves,youth loves peace / satisfy,youth loves peace / satisfy
creates life becoming,becoming creates life,becoming renews life
build house people,people build house,people build house
/ good beauty loves mother,mother loves beauty / good,mother loves beauty / good
swallow star sky,sky star swallow,star sky swallow
near field river,river near field,river near field
king sedge power,sedge king power,sedge king power
pleases god offering,offering pleases god,offering pleases god
man sees cobra,man sees cobra,man sees cobra
grain vessel fills,grain fills vessel,grain fills vessel
hears god man,man hears god,man hears god
meets river lake,river meets lake,river meets lake
scribe reed sees leaf,scribe sees reed leaf,scribe sees reed leaf
sees scribe lake,scribe sees lake,scribe sees lake
milk offering jar,milk jar offering,milk jar offering
grain gives life,grain gives life,grain gives life
fear people storm,people fear storm,people fear storm
water gives life,water gives life,water gives life
book writes scribe,scribe writes book,scribe writes book
peace love people,people love peace,people love peace
river water ripple,water ripple river,river water ripple
servant gives ring,servant gives ring,servant gives ring
above star mountain,star above mountain,star above mountain
temple town behind,temple behind town,temple behind town
strong man backbone,strong man backbone,strong backbone man
door opens bolt,door bolt opens,door bolt opens
love people king,people love king,people love king
sweet life becomes,life becomes sweet,life becomes sweet
stability (djed) gives god,god gives stability (djed),god gives stability (djed)
pool youth sees,youth sees pool,youth sees pool
god behind temple,god behind temple,god behind temple
loves mother father,mother loves father,father loves mother
offering god accepts,god accepts offering,god accepts offering
people cobra fear,people fear cobra,people fear cobra
ba soul west,soul ba west,soul ba west
woman storm hears,woman hears storm,woman hears storm
jar offering milk,milk jar offering,milk jar offering
sees old star man,old man sees star,old man sees star
underground sees youth,youth sees underground,youth sees underground
prayer hears god,god hears prayer,god hears prayer
house man makes,man makes house,man makes house
in jars rack sees scribe,scribe sees jars in rack,scribe sees jars in rack
force / / strength venerated marrow,venerated / marrow strength / force,venerated / marrow strength / force
judged heart maat,heart judged maat,heart judged maat
star above mountain,star above mountain,star above mountain
path leads temple,path leads temple,path leads temple
road behind house,road behind house,road behind house
/ altar mother loves peace,mother loves peace / altar,mother loves peace / altar
throne seat king /,seat / throne king,seat / throne king
/ side plows rib servant,servant plows side / rib,servant plows side / rib
peace loves god satisfy /,god loves peace / satisfy,god loves peace / satisfy
hears youth authority,youth hears authority,youth hears authority
god face (upon) on /,face / on (upon) god,face / on (upon) god
