Input,Target,Prediction
force great thing do strength hand,hand do thing great strength force,hand do thing great strength force
door bolt opens house gate god,god opens house gate door bolt,god opens house gate door bolt
repeated     grain     plows     man     field     pellet,man plows repeated field grain pellet,man plows repeated field grain pellet
gives to king power the people,the king gives power to people,the king gives power to people
mighty / god great god master seated all / (lord) (every) king / deity / king,seated god / king god / deity great / mighty master (lord) / all (every) king,seated god / king god / deity great / mighty master (lord) / all (every) king
the city king people protects,the king protects people city,the king protects people city
(djed) god stability great power authority / god mighty (ankh) life,life (ankh) stability (djed) god authority power great / mighty god,life (ankh) stability (djed) god authority power great / mighty god
behind king follows authority man,man follows behind king authority,man follows behind king authority
people heart sees god eye king,king sees eye heart people god,king sees eye heart people god
people sky fear storm fire,people fear fire storm sky,people fear fire storm sky
rises horizon from desert god,god rises from desert horizon,god rises from desert horizon
temple god deity offering honor people,people honor god deity temple offering,people honor god deity temple offering
mountain desert hill people live beside,people live beside mountain hill desert,people live beside mountain hill desert
swallow lake plant lotus water owl river ripple,lake river water ripple lotus plant swallow owl,lake river water ripple lotus plant swallow owl
horizon     rises     sky     god     star,god rises sky horizon star,god rises sky horizon star
dwells west beyond the god,the god dwells beyond west,the god dwells beyond west
people     gather     loaf     temple     bread     offering,people gather offering bread loaf temple,people gather offering bread loaf temple
house     life     senet     content     woman     (ankh)     seated     /     board     (satisfied)     peace     seated     man,senet board seated man seated woman house life (ankh) peace / content (satisfied),senet board ring house life (ankh)
desert hill road desert slope mountain city hill / town,mountain desert hill desert hill slope road city / town,mountain desert hill desert hill slope road city / town
force strength the gives god,the god gives strength force,the god gives strength force
people king listen lord hear authority,hear listen authority king lord people,hear listen authority king lord people
gate town road man walks,man walks road town gate,man walks road town gate
road lake papyrus lotus clump water riverbank plant ripple,road riverbank lake water ripple lotus plant papyrus clump,road riverbank lake water ripple lotus plant papyrus clump
beside road riverbank man follows,man follows road beside riverbank,man follows road beside riverbank
field     works     hoe     with     man,man works field with hoe,man works field with hoe
people gather temple offering gate peace,people gather offering temple gate peace,people gather offering temple gate peace
man mat reed rests shelter,man rests reed shelter mat,man rests reed shelter mat
city town king servant rules people,king rules city town servant people,king rules city town servant people
ba     soul     spirit     emerge     house     life     ka,ba soul ka spirit emerge house life,ba soul ka spirit emerge house life
milk gives king jar offering temple,king gives offering milk jar temple,king gives offering milk jar temple
shelter city people reed house town,reed shelter house people town city,reed shelter house people town city
authority power people protects servant king,king protects people servant authority power,king protects people servant authority power
plant plant field papyrus riverbank reed lotus clump leaf,lotus plant papyrus clump reed leaf plant field riverbank,lotus plant papyrus clump reed leaf plant field riverbank
emerges star god west sky horizon,god emerges horizon sky star west,god emerges horizon sky star west
star horizon mountain hill lake river sky,horizon sky star mountain hill river lake,horizon sky star mountain hill river lake
riverbank lotus lake papyrus plant clump river,riverbank papyrus clump plant lotus lake river,riverbank papyrus clump plant lotus lake river
eye sky / face sees above upon star horizon,eye sees face / upon sky star horizon above,eye sees face / upon sky star horizon above
heart     mother     satisfy     /     peace     (ankh)     love     father     life     youth,heart love mother father youth life (ankh) peace / satisfy,father mother youth gives birth / begets life (ankh) peace / satisfy heart
speaks of power the king words,the king speaks words of power,the king speaks words of power
from emerges god horizon the,the god emerges from horizon,the god emerges from horizon
do / all) (lord / basket to make senet board hand ring thing,senet board ring basket (lord / all) thing to do / make hand,senet board ring basket (lord / all) thing to do / make hand
sky star god emerges west horizon,god emerges horizon sky star west,god emerges horizon sky star west
grants the stability djed god,the god grants stability djed,the god grants stability djed
(ankh)     youth     good     woman     life     love     heart     beautiful     /     mother,woman beautiful / good heart love mother youth life (ankh),woman beautiful / good heart love mother youth life (ankh)
writing (plural scroll stroke thing papyrus marker) stroke scribe single / book,single stroke stroke (plural marker) thing writing / scribe book papyrus scroll,single stroke stroke (plural marker) papyrus scroll book writing / scribe thing
stool peace man mat rests,man rests stool mat peace,man rests stool mat peace
listen mouth god hears man heart,man hears listen heart mouth god,man hears listen heart mouth god
heart soul satisfy peace (ba) (ankh) / deity god / life ka (spirit),heart peace / satisfy life (ankh) soul (ba) ka (spirit) god / deity,heart peace / satisfy life (ankh) soul (ba) ka (spirit) god / deity
king holds throne seat power,king holds throne seat power,king holds throne seat power
belly (ankh) / life animal side soul rib heart backbone (ba),animal belly backbone side / rib heart soul (ba) life (ankh),animal belly backbone side / rib heart soul (ba) ka (spirit) life (ankh)
star west swallow emerge sky mountain great,swallow great emerge sky star mountain west,swallow great emerge sky star mountain west
pellet gather jars rack grain people,people gather jars rack grain pellet,people gather jars rack grain pellet
storm sky fear desert people fire,people fear fire storm sky desert,people fear fire storm sky desert
power servant protects authority people king,king protects people servant authority power,king protects people servant authority power
mouth king heart hears people,king hears people mouth heart,king hears people mouth heart
emerges lake god from sky horizon,god emerges from lake horizon sky,god emerges from lake horizon sky
/ hand forearm backbone rib foot heart side,hand forearm foot side / rib backbone heart,foot forearm hand side / rib backbone heart
mountain follow behind road people,people follow road behind mountain,people follow road behind mountain
heart hand side foot backbone life rib forearm (ankh) /,hand forearm foot side / rib backbone heart life (ankh),hand forearm foot side / rib backbone heart life (ankh)
offering lord god grain (give) / loaf thousand conical / pellet deity,thousand grain / pellet offering conical loaf (give) god / deity lord,thousand grain / pellet offering conical loaf (give) god / deity lord
clump papyrus field lake riverbank ripple river water,papyrus clump field lake river riverbank water ripple,papyrus clump field lake river riverbank water ripple
sits stability throne king seat,king sits throne seat stability,king sits throne seat stability
belly life of head animal ox heart,head of ox animal belly heart life,head of ox animal belly heart life
(king) / / king mighty sedge great he power king authority,authority power great / mighty king he / king sedge (king),authority power great / mighty king he / king sedge (king)
life (spirit) become (ba) to soul scarab emerge ka (ankh),to become scarab emerge life (ankh) soul (ba) ka (spirit),to become scarab emerge life (ankh) soul (ba) ka (spirit)
star man swallow great sees sky,man sees swallow great sky star,man sees swallow great sky star
sky ba house star soul emerge,soul ba emerge house sky star,soul ba emerge house sky star
hears man west night owl,man hears owl night west,man hears owl night west
king temple jar milk gives offering,king gives offering milk jar temple,king gives offering milk jar temple
milk vessel speak jar drink of eat / bread loaf jar /,eat / drink / speak loaf of bread milk jar vessel jar,eat / drink / speak loaf of bread milk jar vessel jar
sweet plant milk lotus jar jar vessel like,lotus plant sweet like milk jar jar vessel,lotus plant sweet like milk jar jar vessel
youth begets birth beautiful / heart good life / gives (ankh) mother,beautiful / good mother gives birth / begets youth life (ankh) heart,mother gives birth / begets youth beautiful / good heart life (ankh)
strength / / power king force he fox authority king sedge three skins,three fox skins strength / force power authority king he / king sedge,three fox skins strength / force power authority king he / king sedge
truth loves god beautiful good the,the god loves beautiful good truth,the god loves beautiful good truth
eye ring / do board to make thing hand senet,senet board ring thing to do / make hand eye,senet board ring thing to do / make hand eye
desert walks road man west hill,man walks road desert hill west,man walks road desert hill west
/ listen speak / feather truth hear (truth/maat) mouth satisfy / peace heart maat,hear / listen mouth speak truth / maat feather (truth/maat) heart peace / satisfy,hear / listen mouth speak truth / maat feather (truth/maat) heart peace / satisfy
in star people sky see,people see star in sky,people see star in sky
good people hear heart god peace,good god hear people heart peace,good god hear people heart peace
sits the man king seated,the king sits seated man,the king sits seated man
speak mouth eat drink heart people,people eat drink speak mouth heart,people eat drink speak mouth heart
sits     throne     on     the     king,the king sits on throne,the king sits on throne
fear people king of authority,people fear authority of king,people fear authority of king
road house brick bolt stone door town gate,gate door bolt house brick stone town road,gate door bolt house brick stone town road
lord throne authority every king holds,king holds throne authority lord every,king holds throne authority lord every
sees god all people the,the god sees all people,the god sees all people
placenta life emerge become to (ankh) star become,placenta become to become life (ankh) emerge star,placenta become to become life (ankh) emerge star
ka grants soul god life,god grants life ka soul,god grants life ka soul
follows riverbank beside man road,man follows road beside riverbank,man follows road beside riverbank
peace conical (give) satisfy / offering give loaf altar to,to give conical loaf (give) offering peace / altar satisfy,to give conical loaf (give) offering peace / altar satisfy
desert people behind live hill,people live behind desert hill,people live behind desert hill
give to offering satisfy / loaf god peace (give) conical,conical loaf (give) to give offering peace / satisfy god,conical loaf (give) to give offering peace / satisfy god
mouth speak king people hears,king hears mouth speak people,king hears people speak mouth
authority god strength power grants force,god grants authority power strength force,god grants authority power strength force
body soul ba leaves the,the soul ba leaves body,the soul ba leaves body
authority god the grants power,the god grants power authority,the god grants power authority
god people power life grants,god grants life power people,god grants life power people
force strength mighty king authority power great,authority power great mighty king strength force,authority power great mighty king strength force
life emerge to become (ankh) sky scarab horizon,to become scarab emerge horizon sky life (ankh),to become scarab emerge horizon sky life (ankh)
great     thousand     pellet     thing     master     god     lord     grain     mighty,thousand grain pellet thing great mighty god lord master,thousand grain pellet thing great mighty god
lord thousand every rules people king,king rules lord every thousand people,king rules lord every people thousand
djed pillar strength grants stability god,god grants stability djed pillar strength,god grants stability djed pillar strength
soul     horizon     emerge     spirit     ka     life     ba,ka spirit ba soul emerge life horizon,ka spirit emerge house life horizon sky
face head ox of belly eye upon animal / heart,eye face / upon head of ox animal belly heart,eye face / upon head of ox animal belly heart
clump water riverbank lake lotus papyrus plant ripple,papyrus clump riverbank lake water ripple lotus plant,papyrus clump riverbank lake water ripple lotus plant
sky watches horizon god west star,god watches star sky horizon west,god watches star sky horizon west
field / servant pellet plows man hoe (tills) grain,field grain / pellet hoe plows (tills) servant man,hoe plows (tills) grain / pellet field servant man
peace great altar above temple fire god,fire above peace altar god great temple,fire above peace altar god great temple
all / power life stability (ankh) master mighty (djed) (every) authority (lord) great /,life (ankh) stability (djed) power authority great / mighty master (lord) / all (every),life (ankh) stability (djed) power authority great / mighty master (lord) / all (every)
jars gather people grain field,people gather grain field jars,people gather grain field jars
king every rules lord people,king rules lord every people,king rules lord every people
heart milk lotus example) as like / (or jar plant sweet,heart sweet like / as (or example) lotus plant milk jar,sweet like / as (or example) lotus plant milk jar heart
(king) / throne king authority / great mighty power sedge he,he / king sedge (king) throne authority power great / mighty,he / king sedge (king) throne authority power great / mighty
town walks road man city,man walks road town city,man walks road town city
holds crook club king the,the king holds crook club,the king holds crook club
people live field riverbank lake,people live riverbank lake field,people live riverbank lake field
ring rope coil flax of rope twisted thing hand,twisted flax rope coil of rope ring thing hand,twisted flax rope coil of rope ring thing hand
grain plows sickle field man,man plows field sickle grain,man plows field sickle grain
river water drinks ripple man lake,man drinks water ripple lake river,man drinks water ripple lake river
hare backbone desert animal belly heart life,desert hare animal belly backbone heart life,desert hare animal belly backbone heart life
belly become food desert animal hare,desert hare become food animal belly,desert hare become food animal belly
plow like do field father man,man plow field like father do,man plow field like father do
water river swallow riverbank lotus ripple owl lake plant,river riverbank lake water ripple lotus plant swallow owl,river riverbank lake water ripple lotus plant swallow owl
/ papyrus book hand mouth scribe writing scroll eye,book papyrus scroll writing / scribe hand eye mouth,book papyrus scroll writing / scribe hand eye mouth
man rests stool on mat,man rests on stool mat,man rests on stool mat
west watches river riverbank god,god watches river riverbank west,god watches river riverbank west
thousand offering grain heart pellet / jar peace satisfy / vessel,thousand grain / pellet vessel jar offering peace / satisfy heart,thousand grain / pellet vessel jar offering peace / satisfy heart
rope twisted coil of tethering strength rope flax rope,tethering rope coil of rope rope twisted flax strength,tethering rope coil of rope rope twisted flax strength
strength power god grants backbone force,god grants power strength force backbone,god grants power strength force backbone
repeated field hoe plows man grain,man plows repeated field hoe grain,man plows repeated field hoe grain
mountain star sky above slope horizon hill hill desert desert,sky star horizon above mountain desert hill desert hill slope,sky star horizon above mountain desert hill desert hill slope
papyrus scroll beautiful / scribe book / good scribe heart writing thing,scribe writing / scribe book papyrus scroll beautiful / good thing heart,scribe writing / scribe book papyrus scroll beautiful / good thing heart
grain field jars gather people pellet,people gather grain pellet field jars,people gather grain pellet field jars
chisel stone cut brick adze god temple deity /,adze chisel cut stone brick temple god / deity,adze chisel cut stone brick temple god / deity
city river town road riverbank / town lake,city / town town road riverbank lake river,city / town town road riverbank lake river
boat cross people by river,people cross river by boat,people cross river by boat
stone chisel gate / to brick adze house do make,to do / make house brick stone adze chisel gate,to do / make house brick stone adze chisel gate
throne seat stability sits king,king sits throne seat stability,king sits throne seat stability
stroke     single     scribe     marker)     papyrus     stroke     scribe     (plural     writing     book     /     scroll,single stroke stroke (plural marker) papyrus scroll book scribe writing / scribe,single stroke stroke (plural marker) thing writing / scribe book scribe papyrus
stone gate town road door bolt brick house,gate door bolt house brick stone town road,gate door bolt house brick stone town road
deity scarab become king god great,become scarab great deity god king,become scarab great deity god king
man stone pillar rests beside,man rests beside stone pillar,man rests beside stone pillar
on the rises sun horizon,the sun rises on horizon,the sun rises on horizon
people king god power authority servant,king power authority servant people god,king power authority servant people god
conical offering loaf / (give) / deity lord thousand god grain pellet,thousand grain / pellet offering conical loaf (give) god / deity lord,thousand grain / pellet offering conical loaf (give) god / deity lord
to become man life placenta youth (ankh) become,placenta become to become life (ankh) youth man,placenta become to become life (ankh) youth man
power strength great youth become placenta life,placenta become life youth great power strength,placenta become life youth great power strength
viper desert horned fear people hill,people fear horned viper desert hill,people fear horned viper desert hill
stone     house     behind     brick     horned     viper     rib     side,horned viper behind side rib stone brick house,horned viper behind side / rib stone brick house
grain gives pellet god people thousand,god gives thousand grain pellet people,god gives thousand grain pellet people
protects temple people gate king,king protects temple gate people,king protects temple gate people
god offering people deity honor temple,people honor god deity temple offering,people honor god deity temple offering
fire beside man lake rests,man rests beside fire lake,man rests beside fire lake
life god grants ka ankh,god grants life ankh ka,god grants life ankh ka
fire stone man rests beside,man rests beside fire stone,man rests beside fire stone
twisted     flax     rope     rope     ring     coil     tethering     rope     thing     of,tethering rope twisted flax rope coil of rope ring thing,twisted flax rope coil of rope ring vessel jar stone
god do love man truth maat,god love man do truth maat,god love man do truth maat
riverbank god watches river west,god watches river riverbank west,god watches river riverbank west
people over watches the god,the god watches over people,the god watches over people
power     king     authority     protects     people,king protects people power authority,king protects people power authority
authority king city people hear town,people hear authority king city town,people hear authority king city town
mother beautiful good / heart youth love father,heart love mother father youth beautiful / good,heart love mother father youth beautiful / good
people heart god hears voice king,king hears heart voice people god,king hears voice heart god people
thousand pellet reed leaf field plant grain / lotus plant,thousand grain / pellet field plant lotus plant reed leaf,thousand grain / pellet field plant lotus plant reed leaf
lake people riverbank live field beside,people live beside lake riverbank field,people live beside lake riverbank field
god gate horizon the opens,the god opens gate horizon,the god opens gate horizon
temple gate stands before man,man stands before temple gate,man stands before temple gate
foot     forearm     animal     backbone     hand     belly     heart,hand forearm foot animal belly backbone heart,hand forearm foot animal belly backbone rib
adze cut stone gate building chisel,adze chisel cut stone building gate,adze chisel cut stone building gate
servant     grain     (tills)     hoe     field     /     plows     pellet     thousand,thousand grain / pellet hoe plows (tills) field servant,hoe plows (tills) field grain / pellet servant man
city gate walk people toward,people walk toward city gate,people walk toward city gate
man     temple     road     to     follows,man follows road to temple,man follows road to temple
eat     grain     quail     chick     stone     hill     desert     pellet,quail chick eat grain pellet hill desert stone,quail chick eat grain / pellet hill desert stone
hill fire above sky storm desert horizon mountain,fire storm above mountain desert hill sky horizon,fire storm above mountain desert hill sky horizon
city shelter gate door / reed house town brick bolt,door bolt gate reed shelter house brick city / town,gate door bolt reed shelter brick house city / town town
watches riverbank god river west,god watches river riverbank west,god watches river riverbank west
grain man plows pellet field tills,man plows tills field grain pellet,man plows tills field grain pellet
grants god life ka ankh,god grants life ankh ka,god grants life ankh ka
god ba soul watches star sky,god watches soul ba sky star,god watches soul ba sky star
god people authority king gives power,god gives power authority people king,god gives power authority people king
/ man woman marrow youth old seated seated man venerated,venerated / marrow old man seated man seated woman youth,venerated / marrow old man seated man seated woman youth
man woman viper horned cobra snake fear,cobra snake horned viper fear man woman,cobra snake horned viper fear man woman
god grants power strength force authority,god grants authority power strength force,god grants authority power strength force
king man seated the sits,the king sits seated man,the king sits seated man
hand rib forearm foot / heart backbone soul (ba) spirit side,hand forearm foot side / rib backbone heart soul (ba) spirit,hand forearm foot side / rib backbone heart soul (ba) spirit
/ power he (every) king authority / master / mighty great king (lord) all,master (lord) / all (every) king he / king authority power great / mighty,master (lord) / all (every) king he / king authority power great / mighty
master / (ankh) (djed) stability life (lord) great authority all (every) / mighty power,life (ankh) stability (djed) power authority great / mighty master (lord) / all (every),life (ankh) stability (djed) power authority great / mighty master (lord) / all (every)
face desert road hill foot west upon slope,foot face upon road hill slope desert west,foot face upon road hill slope desert west
writing scribe scribe thing book (plural stroke single marker) / stroke,single stroke stroke (plural marker) thing writing / scribe book scribe,single stroke stroke (plural marker) thing writing / scribe book
grants life people god power,god grants life power people,god grants life power people
the king strong backbone has,the king has strong backbone,the king has strong backbone
city people protects temple king god,king protects temple god people city,king protects god temple people city
field sickle plows man with,man plows field with sickle,man plows field with sickle
/ good birth gives life mother (ankh) / youth heart begets beautiful,beautiful / good mother gives birth / begets youth life (ankh) heart,beautiful / good mother gives birth / begets youth life (ankh) heart
power great become life youth placenta strength,placenta become life youth great power strength,placenta become life youth great power strength
god ankh djed authority power life stability,life ankh stability djed god authority power,life ankh stability djed god authority power
jar woman drinks life milk,woman drinks milk jar life,woman drinks milk jar life
ka ba backbone belly heart spirit animal soul life,animal belly backbone heart soul ba ka spirit life,animal belly backbone heart soul ba ka spirit life
speak listen / maat eat drink truth / / feather hear / mouth,hear / listen mouth eat / drink / speak truth / maat feather,hear / listen mouth eat / drink / speak truth / maat feather
deity fear storm strong god sky fire,storm fire fear god deity sky strong,storm fire fear god deity sky strong
master skins three fox strength king lord all,three fox skins master lord all king strength,three fox skins master lord all king strength
god     star     emerges     horizon     swallow     sky,god emerges horizon sky swallow star,god emerges horizon sky swallow star
pellet grain food field plow hoe,hoe plow field grain pellet food,hoe plow field grain pellet food
life ankh ba soul sky god,god soul ba sky life ankh,god soul ba sky life ankh
face underground behind side rib upon horizon back above,above behind back face upon side rib underground horizon,above behind back face upon side rib underground horizon
people king protects power city,king protects city people power,king protects people city power
mat man rests stool house,man rests stool mat house,man rests house stool mat
walks west riverbank horizon road man,man walks road riverbank west horizon,man walks road riverbank west horizon
venerated man (ankh) peace marrow father youth people satisfy / / life old,venerated / marrow father youth old man life (ankh) peace / satisfy people,venerated / marrow father youth old man life (ankh) peace / satisfy people
holds authority the king power,the king holds power authority,the king holds power authority
ka / backbone forearm foot ba (spirit) rib side (soul) hand,hand forearm foot side / rib backbone ka (spirit) ba (soul),hand forearm foot side / rib backbone ka (spirit) ba (soul)
(ankh) side / backbone heart belly animal placenta life rib,animal belly backbone side / rib placenta heart life (ankh),animal belly backbone side / rib placenta heart life (ankh)
bread eats grain man pellet,man eats grain pellet bread,man eats grain pellet bread
eat people drink mouth speak heart,people eat drink speak mouth heart,people eat drink speak mouth heart
cobra door behind house bolt great,great cobra behind door bolt house,great cobra behind door bolt house
city authority people king hear town,people hear authority king city town,people hear authority king city town
riverbank road plant ripple water lake clump lotus papyrus,road riverbank lake water ripple lotus plant papyrus clump,road riverbank lake water ripple lotus plant papyrus clump
repeated plows field works man,man works field plows repeated,man works field plows repeated
cut brick stone building chisel house adze,chisel adze cut stone brick house building,chisel adze cut stone brick house building
loaf to offering altar / give conical peace (give) satisfy,to give conical loaf (give) offering peace / altar satisfy,to give conical loaf (give) offering peace / altar satisfy
/ beautiful thing writing / book heart good scroll scribe papyrus,writing / scribe papyrus scroll book thing beautiful / good heart,writing / scribe papyrus scroll book thing beautiful / good heart
ba soul life ankh god sky,god soul ba sky life ankh,god soul ba sky life ankh
building     adze     /     make     do     to     chisel     brick     temple     stone,chisel adze to do / make stone brick temple building,adze chisel to do / make stone brick building temple
house emerge ba soul life spirit ka,ba soul ka spirit emerge house life,ba soul ka spirit emerge house life
of twisted vessel flax ring coil jar rope stone rope,twisted flax rope coil of rope ring vessel jar stone,twisted flax rope coil of rope ring vessel jar stone
honor feather truth people god maat,people honor truth maat feather god,people honor truth maat feather god
sweet plant like lotus jar / milk as heart example) (or,heart sweet like / as (or example) lotus plant milk jar,sweet like / as (or example) lotus plant milk jar heart
chick animal cobra viper snake horned desert quail hare,cobra snake horned viper quail chick desert hare animal,cobra snake horned viper quail chick desert hare animal
stroke single stroke scribe book marker scroll papyrus plural,single stroke stroke plural marker papyrus scroll scribe book,single stroke stroke plural marker papyrus scroll scribe book
walk city gate people toward,people walk toward city gate,people walk toward city gate
stone with mat basket stool brick / jar handle ring house,stool / mat ring basket with handle jar brick stone house,stool / mat ring basket with handle jar brick stone house
road desert town people follow,people follow road desert town,people follow road desert town
papyrus stroke scribe thing (plural book marker) single scroll stroke / writing,single stroke stroke (plural marker) papyrus scroll book writing / scribe thing,single stroke stroke (plural marker) papyrus scroll book writing / scribe thing
shelter city town reed gate / door brick bolt house,gate door bolt reed shelter brick house city / town,gate door bolt reed shelter brick house city / town
king hear deity (lord / all) / people / god basket authority listen,basket (lord / all) people hear / listen authority king god / deity,basket (lord / all) people hear / listen authority king god / deity
heart mother youth beautiful gives birth,mother gives birth youth beautiful heart,mother gives birth youth beautiful heart
handle     /     jar     milk     jar     with     basket     ring     mat     vessel     stool,stool / mat basket with handle ring vessel jar milk jar,jars in rack vessel jar milk jar basket with handle
maat     feather     people     honor     truth,people honor feather truth maat,people honor truth maat feather
scribe good writing beautiful thing scroll book papyrus,writing scribe papyrus scroll book thing beautiful good,writing scribe papyrus scroll book thing beautiful good
ox upon / eye of animal belly face head heart,eye face / upon head of ox animal belly heart,eye face / upon head of ox animal belly heart
satisfy peace emerge to scarab life become sky horizon / (ankh) star,to become scarab emerge horizon star sky life (ankh) peace / satisfy,to become scarab emerge horizon star sky life (ankh) peace / satisfy
sweet the god grants ankh life,the god grants sweet life ankh,the god grants sweet life ankh
peace satisfy heart deity god (no/not) / negation fear /,negation (no/not) fear god / deity heart peace / satisfy,negation (no/not) fear god / deity heart peace / satisfy
gather pellet people grain offering,people gather grain pellet offering,people gather grain pellet offering
grants     temple     altar     content     god     peace,god grants peace altar temple content,god grants peace altar temple content
/ eye scribe hand writing scroll scribe heart papyrus,scribe writing / scribe papyrus scroll hand eye heart,scribe writing / scribe papyrus scroll hand eye heart
head upon of eye heart belly face ox animal /,eye face / upon head of ox animal belly heart,eye face / upon head of ox animal belly heart
eats bread loaf of man,man eats loaf of bread,man eats loaf of bread
handle ring jar mat basket jar with / stool milk vessel,stool / mat basket with handle ring vessel jar milk jar,stool / mat basket with handle ring vessel jar milk jar
and man bread drinks eats,man eats bread and drinks,man eats bread and drinks
pellet grain people gather offering,people gather grain pellet offering,people gather grain pellet offering
/ sky star horizon mighty deity great / god above,god / deity great / mighty above sky star horizon,god / deity great / mighty above sky star horizon
thousand people pellet gather grain,people gather grain pellet thousand,people gather grain pellet thousand
horizon gate underground god opens west,god opens gate underground west horizon,god opens gate underground west horizon
to road house / town city return door bolt / gate retreat,to return / retreat road city / town house gate door bolt,to return / retreat road city / town house gate door bolt
force backbone king holds strength authority,king holds authority backbone strength force,king holds authority backbone strength force
hears of god heart people the,the god hears heart of people,the god hears heart of people
man old write book scribe hear,old man hear book write scribe,old man hear book write scribe
upon god people horizon see,people see god upon horizon,people see god upon horizon
fear horned snake people viper,people fear horned viper snake,people fear snake horned viper
jar milk life woman drinks,woman drinks milk jar life,woman drinks milk jar life
/ force forearm power back club strength hand,club strength / force power hand forearm back,club strength / force power hand forearm back
star     sky     owl     swallow     hears     man,man hears owl swallow sky star,man hears owl swallow sky star
god force grants djed strength stability,god grants stability djed strength force,god grants stability djed strength force
people city town house live,people live house city town,people live house city town
loaf loaf give of offering heart peace conical satisfy bread,conical loaf give loaf of bread offering peace satisfy heart,conical loaf give loaf of bread offering peace satisfy heart
house rack in lord jars city west town,jars in rack house lord city town west,jars in rack house lord city town west
ba ka (spirit) town / (soul) city sky emerge house,ka (spirit) ba (soul) emerge house city / town sky,ka (spirit) ba (soul) emerge house city / town sky
mouth speak king people hears,king hears people speak mouth,king hears people speak mouth
twisted carries coil flax man rope,man carries rope coil twisted flax,man carries rope coil twisted flax
plant lotus gather people under,people gather under lotus plant,people gather under lotus plant
truth / (truth/maat) satisfy / feather / god maat peace lord deity heart,feather (truth/maat) truth / maat heart peace / satisfy god / deity lord,feather (truth/maat) truth / maat heart peace / satisfy god / deity lord
cut adze brick chisel town house / city stone,chisel adze cut stone brick house city / town,chisel adze cut stone brick house city / town
power authority club crook king holds,king holds crook club authority power,king holds crook club power authority
heart desert backbone animal life hare belly,desert hare animal belly backbone heart life,desert hare animal belly backbone heart life
vessel beautiful milk jar drink woman eat,beautiful woman eat drink milk jar vessel,beautiful woman eat drink milk jar vessel
strong milk jar give life youth heart,milk jar give life youth strong heart,milk jar give life youth strong heart
soul life (ankh) ka emerge scarab become star (ba) (spirit) to,to become scarab emerge life (ankh) soul (ba) ka (spirit) star,to become scarab emerge life (ankh) soul (ba) ka (spirit) star
offering altar satisfy / peace conical / loaf heart peace (give),conical loaf (give) offering peace / altar peace / satisfy heart,conical loaf (give) offering peace / altar peace / satisfy heart
/     senet     make     ring     to     board     hand     thing     do     eye,senet board ring thing to do / make hand eye,senet board ring thing to do / make hand
city town people follow road gate,people follow road gate city town,people follow road gate city town
hear man book old write scribe,old man hear book write scribe,old man hear book write scribe
jar man water drinks ripple vessel,man drinks water ripple vessel jar,man drinks water ripple vessel jar
woman house jar life milk carries,woman carries milk jar house life,woman carries milk jar house life
man walks mountain hill behind,man walks behind mountain hill,man walks behind mountain hill
coil     rope     rope     carries     man,man carries rope coil rope,man carries rope coil rope
single scribe (plural papyrus writing book scribe / stroke stroke scroll marker) eye,single stroke stroke (plural marker) papyrus scroll book scribe writing / scribe eye,single stroke stroke (plural marker) papyrus scroll book scribe writing / scribe eye
foot side backbone hand rib forearm / heart,foot forearm hand side / rib backbone heart,foot forearm hand side / rib backbone heart
star horizon hill desert sky mountain above,sky horizon star above mountain desert hill,sky horizon star above mountain desert hill
stroke papyrus / book scribe scroll stroke single writing hand (plural marker),papyrus scroll writing / scribe book hand single stroke stroke (plural marker),papyrus scroll writing / scribe book hand single stroke stroke (plural marker)
plant lotus peace man rests under,man rests under lotus plant peace,man rests under lotus plant peace
city king rules town the,the king rules city town,the king rules city town
milk eat jar jar speak of bread vessel loaf drink,eat drink speak loaf of bread jar vessel milk jar,eat drink speak loaf of bread jar vessel milk jar
night man sky hears owl,man hears owl night sky,man hears owl night sky
king lord above every rules,king rules above lord every,king rules above lord every
tills     field     hoe     man     plows,man plows tills field hoe,man plows tills field hoe
underground god opens horizon gate west,god opens gate underground west horizon,god opens gate underground west horizon
the king sees people heart of,the king sees heart of people,the king sees heart of people
night hears owl man swallow sky,man hears owl swallow night sky,man hears owl swallow night sky
upon     back     behind     /     rib     above     horizon     sky     /     underground     /     face     side,above behind / back face / upon side / rib underground horizon sky,above behind / back face / upon side / rib underground horizon heart
mountain desert fire hill slope storm hill,fire storm mountain hill slope desert hill,fire storm mountain hill slope desert hill
king city rules town power authority,king rules city town power authority,king rules city town power authority
fire man rests lake beside,man rests beside fire lake,man rests beside fire lake
papyrus scribe mouth writing / hand eye scroll book,book papyrus scroll writing / scribe hand eye mouth,book papyrus scroll writing / scribe hand eye mouth
people temple king protects gate,king protects temple gate people,king protects temple gate people
master power all authority mighty / he great / king (lord) king / (every),master (lord) / all (every) king he / king authority power great / mighty,master (lord) / all (every) king he / king authority power great / mighty
ox of head of belly life animal (ba) soul (ankh) heart bird head,head of bird head of ox animal belly heart soul (ba) life (ankh),head of bird head of ox animal belly heart soul (ba) life (ankh)
/ strength / force throne authority sedge power king seat / (king) he throne,he / king sedge (king) throne seat / throne authority power strength / force,he / king sedge (king) throne seat / throne authority power strength / force
god emerges from horizon the,the god emerges from horizon,the god emerges from horizon
life horizon scarab become emerge to sky (ankh),to become scarab emerge horizon sky life (ankh),to become scarab emerge horizon sky life (ankh)
love     lord     god     people     all     basket,basket lord all people love god,basket lord all people love god
riverbank live people city town,people live riverbank city town,people live riverbank city town
