Input,Target,Prediction
mountain the sees old a desert man,the old man sees a desert mountain,the old man sees a desert mountain
force belly / animal fear heart strength life,animal belly heart life strength / force fear,animal belly heart life strength / force fear
of book the scribe reads the life,the scribe reads the book of life,the scribe reads the book of life
life god great gives father to the,the great god gives life to father,the great god gives life to father
water field ripple river lake life,river lake water ripple life field,lake river water ripple life field
eats bread a house the scribe inside,a scribe eats bread inside the house,a scribe eats bread inside the house
a great field from emerges the snake,a great snake emerges from the field,a great snake emerges from the field
the scribe town in finds vessel a,a scribe finds the vessel in town,a scribe finds the vessel in town
ka a above star spirit becomes the,the ka spirit becomes a star above,the ka spirit becomes a star above
(or is west underground life found) opens exists /,life opens / exists (or is found) underground west,life opens / exists (or is found) underground west
the is reed shelter cobra under the,the cobra is under the reed shelter,the cobra is under the reed shelter
people the find the truth in temple,the people find truth in the temple,the people find truth in the temple
the the reed stays cobra shelter under,the cobra stays under the reed shelter,the cobra stays under the reed shelter
the town finds jar a in woman,the woman finds a jar in town,the woman finds a jar in town
behind hare the the desert is stone,the desert hare is behind the stone,the desert hare is behind the stone
the to returns a great house servant,a servant returns to the great house,a servant returns to the great house
hearts align fills when house peace,peace fills house when hearts align,peace fills house when hearts align
the river the bank horizon above stays,the horizon stays above the river bank,the horizon stays above the river bank
love life content satisfied peace people,people love peace content satisfied life,people love peace content satisfied life
the face the ba sees soul god,the soul ba sees the face god,the soul ba sees the face god
returns house servant the a to great,a servant returns to the great house,a servant returns to the great house
field water ripple life plant river abundance,river water ripple field plant life abundance,river water ripple field plant life abundance
power of town lord authority holds,lord of town holds authority power,lord of town holds authority power
throne god great authority king seated / power,seated god / king throne authority power great,seated god / king throne authority power great
backbone life / pillar grandfather god stability / power strength force (djed),pillar / grandfather backbone stability (djed) strength / force life god power,pillar / grandfather backbone stability (djed) strength / force life god power
gives the the to authority king master,the king gives authority to the master,the master gives authority to the king
face the youth of mother the sees,the youth sees the face of mother,the youth sees the face of mother
road upon walks the father now the,the father walks upon the road now,the father walks upon the road now
vessel offering life ripple jar people water,vessel jar water ripple life people offering,vessel jar water ripple life people offering
sky horizon the master the of sees,the master sees the horizon of sky,the master sees the horizon of sky
top the mountain above shines star a,a star shines above the mountain top,a star shines above the mountain top
heart word the hears life of the,the heart hears the word of life,the heart hears the word of life
beautiful great the the god world makes,the great god makes the world beautiful,the great god makes the world beautiful
to horizon the a youth finds road,the youth finds a road to horizon,the youth finds a road to horizon
near holds flowing water riverbank reeds,riverbank holds reeds near flowing water,riverbank holds reeds near flowing water
a carries basket brick of servant a,a servant carries a basket of brick,a servant carries a basket of brick
fear strength / heart storm fire force,fire storm fear strength / force heart,fire storm fear strength / force heart
in servant rack a carries jar the,the servant carries a jar in rack,the servant carries a jar in rack
cobra slope the hides in hill the,the cobra hides in the hill slope,the cobra hides in the hill slope
youth the clump a behind hides papyrus,the youth hides behind a papyrus clump,the youth hides behind a papyrus clump
city youth finds the road the to,the youth finds the road to city,the youth finds the road to city
temple great stone (djed) stability,temple stone stability (djed) great,temple stone stability (djed) great
the a fire heart in becomes stone,the heart becomes a stone in fire,the heart becomes a stone in fire
old the man to does town return,the old man does return to town,the old man does return to town
life house content servant / people heart peace (satisfied),servant people house life peace / content (satisfied) heart,servant people house life peace / content (satisfied) heart
(ankh) become scarab rebirth / life symbol,scarab / become life (ankh) symbol rebirth,scarab / become life (ankh) symbol rebirth
gate enters the ka spirit the stone,the ka spirit enters the stone gate,the ka spirit enters the stone gate
the king the sedge grain sees field,the sedge king sees the field grain,the sedge king sees the field grain
/ life strength force heart belly animal fear,animal belly heart life strength / force fear,animal belly heart life strength / force fear
god heart great the the speaks hears,the great god hears the heart speaks,the great god hears the heart speaks
of master stone the a uses chisel,the master uses a chisel of stone,the master uses a chisel of stone
riverbank leaf papyrus reed clump water,riverbank reed leaf papyrus clump water,riverbank reed leaf papyrus clump water
the now a holds servant rope tethering,the servant holds a tethering rope now,the servant holds a tethering rope now
the in gate the scribe eats bread,the scribe eats bread in the gate,the scribe eats bread in the gate
water bread peacefully drinks man eats,man eats bread drinks water peacefully,man eats bread drinks water peacefully
the the animal on ground is belly,the animal belly is on the ground,the animal belly is on the ground
master pillar djed the stands the behind,the master stands behind the djed pillar,the master stands behind the djed pillar
inside town gather dawn people at,people gather inside town at dawn,people gather inside town at dawn
star above god sees sky heart eye,above sky star god sees eye heart,above sky star god sees eye heart
papyrus emerges the clump a from cobra,the cobra emerges from a papyrus clump,the cobra emerges from a papyrus clump
quail sees small the woman the chick,the woman sees the small quail chick,the woman sees the small quail chick
near flowing riverbank holds reeds water,riverbank holds reeds near flowing water,riverbank holds reeds near flowing water
found) west is exists underground life (or opens /,life opens / exists (or is found) underground west,life opens / exists (or is found) underground west
altar loaf peace god of / bread offering,offering loaf of bread peace / altar god,offering loaf of bread peace / altar god
now the the plow servant does field,the servant does plow the field now,the servant does plow the field now
the tills youth small the field plows,the youth plows tills the small field,the youth plows tills the small field
finds now the milk servant the jar,the servant finds the milk jar now,the servant finds the milk jar now
soul finds the ba the pillar djed,the soul ba finds the djed pillar,the soul ba finds the djed pillar
three fox skins servant finds the the,the servant finds the three fox skins,the servant finds the three fox skins
toward city walks gate road man,man walks road toward city gate,man walks road toward city gate
finds jars the the soul rack in,the soul finds the jars in rack,the soul finds the jars in rack
life west (ba) soul underground,west underground soul (ba) life,west underground soul (ba) life
woman sees the house no snake in,the woman sees no snake in house,the woman sees no snake in house
god horizon life sky emerge star light,horizon sky star light god emerge life,horizon sky star light god emerge life
jars god life vessel jar rack in offering people,jars in rack jar vessel offering god people life,jars in rack jar vessel offering god people life
the the vessel master altar places on,the master places the vessel on altar,the master places the vessel on altar
town road leads city / gate,road leads city / town gate,road leads city / town gate
city finds the a to youth road,the youth finds a road to city,the youth finds a road to city
great god king to gives authority the,the great god gives authority to king,the great god gives authority to king
the servant tethering a now rope holds,the servant holds a tethering rope now,the servant holds a tethering rope now
the king grain the field sees sedge,the sedge king sees the field grain,the sedge king sees the field grain
strength king / power tethering rope force authority he god / rope,tethering rope rope strength / force power authority he / king god,tethering rope rope strength / force power authority he / king god
flows city beside bringing river life,river flows beside city bringing life,river flows beside city bringing life
for house makes god king a the,the king makes a house for god,the king makes a house for god
the king a of makes life house,the king makes a house of life,the king makes a house of life
peace no war in the heart finds,the heart finds no peace in war,the heart finds no peace in war
star head above swallow god sky horizon of bird,head of bird swallow sky horizon above god star,head of bird swallow sky horizon above god star
voice joyful god praise people with,people praise god with joyful voice,people praise god with joyful voice
the man again a plows strong field,a strong man plows the field again,a strong man plows the field again
home fire warmth to gives family,fire gives warmth to family home,fire gives warmth to family home
strength force (repeated) head / field ox plows of,head of ox plows (repeated) field strength / force,head of ox plows (repeated) field strength / force
sees the riverbank man the old green,the old man sees the riverbank green,the old man sees the riverbank green
/ road gate city town life people,city / town gate road people life,city / town gate road people life
animal a scribe upon writes the belly,a scribe writes upon the animal belly,a scribe writes upon the animal belly
truth god sees heart man,god sees heart man truth,god sees heart man truth
finds a grain basket the woman of,the woman finds a basket of grain,the woman finds a basket of grain
in the finds jar woman a town,the woman finds a jar in town,the woman finds a jar in town
rebirth become / symbol life scarab (ankh),scarab / become life (ankh) symbol rebirth,scarab / become life (ankh) symbol rebirth
through long writing study scribe learns,scribe learns writing through long study,scribe learns writing through long study
heart door house peace bolt satisfy / life,door bolt house peace / satisfy life heart,door bolt house peace / satisfy life heart
conical people (give) loaf life offering god,conical loaf (give) offering god people life,conical loaf (give) offering god people life
horizon sky of the sees the master,the master sees the horizon of sky,the master sees the horizon of sky
bird head horizon sky god star of eye sees,head of bird sky horizon sees eye god star,head of bird sky horizon sees eye god star
life servant the gives the to master,the master gives life to the servant,the master gives life to the servant
heart content / peace beautiful (satisfied) life good /,beautiful / good life peace / content (satisfied) heart,beautiful / good life peace / content (satisfied) heart
peace of altar life god offering head / people ox temple,head of ox offering peace / altar god temple people life,head of ox offering peace / altar god temple people life
from life and water earth emerges,life emerges from water and earth,life emerges from water and earth
stability / force power / grandfather backbone life pillar (djed) strength god,pillar / grandfather backbone stability (djed) strength / force life god power,pillar / grandfather backbone stability (djed) strength / force life god power
the finds beauty the in woman lotus,the woman finds beauty in the lotus,the woman finds beauty in the lotus
wall the scribe makes writing on the,the scribe makes writing on the wall,the scribe makes writing on the wall
the hoe town to carries servant a,the servant carries a hoe to town,the servant carries a hoe to town
bread the gate in the scribe eats,the scribe eats bread in the gate,the scribe eats bread in the gate
a to road city heart the finds,the heart finds a road to city,the heart finds a road to city
child the hears father of heart the,the father hears the heart of child,the father hears the heart of child
the head the sees lord ox of,the lord sees the head of ox,the lord sees the head of ox
temple truth in a hears scribe the,a scribe hears truth in the temple,a scribe hears truth in the temple
river water people life lake ripple offering,lake water ripple river life people offering,lake water ripple river life people offering
rope coil of god tethering ring authority power king rope,tethering rope coil of rope ring power authority king god,coil of rope tethering rope ring power authority king god
brick a makes of the city king,the king makes a city of brick,the king makes a city of brick
black repeated man soil plows the the,the man plows repeated the black soil,the man plows repeated the black soil
a gives book to father the youth,the father gives a book to youth,the father gives a book to youth
gives child mother a to a birth,a mother gives birth to a child,a mother gives birth to a child
writing seated / book papyrus man scroll life people scribe temple,writing / scribe seated man papyrus scroll book temple people life,writing / scribe seated man papyrus scroll book temple people life
to above the soul returns the star,the soul returns to the star above,the soul returns to the star above
a horizon finds heart road the to,the heart finds a road to horizon,the heart finds a road to horizon
upon the now the riverbank stands father,the father stands upon the riverbank now,the father stands upon the riverbank now
shines top above mountain a star the,a star shines above the mountain top,a star shines above the mountain top
sky horizon above sees god star,above sky star horizon god sees,above sky star horizon god sees
/ drink man speak of loaf bread eat /,man eat / drink / speak loaf of bread,man eat / drink / speak loaf of bread
sees papyrus grow scribe the clump the,the scribe sees the papyrus clump grow,the scribe sees the papyrus clump grow
a write uses pen scribe the to,the scribe uses a pen to write,the scribe uses a pen to write
and master chisel adze a uses the,the master uses a chisel and adze,the master uses a chisel and adze
scribe the on board senet plays the,the scribe plays on the senet board,the scribe plays on the senet board
city / road life people town gate,city / town gate road people life,city / town gate road people life
of sky a soul swallow becomes the,the soul becomes a swallow of sky,the soul becomes a swallow of sky
above star god horizon sees sky,above sky star horizon god sees,above sky star horizon god sees
lord upon above throne the the sits,the lord sits upon the throne above,the lord sits upon the throne above
stone uses chisel on master the a,the master uses a chisel on stone,the master uses a chisel on stone
people king the gives power to the,the king gives power to the people,the king gives power to the people
above hill desert the emerges cobra the,the cobra emerges above the desert hill,the cobra emerges above the desert hill
to ring a mother father gives the,the father gives a ring to mother,the father gives a ring to mother
welcomes door people opens inside house,house opens door welcomes people inside,house opens door welcomes people inside
upon lives heart the word the truth,the heart lives upon the word truth,the heart lives upon the word truth
sees grain the king field the sedge,the sedge king sees the field grain,the sedge king sees the field grain
jar child milk life love mother,mother milk jar child life love,mother milk jar child life love
the above throne sits upon lord the,the lord sits upon the throne above,the lord sits upon the throne above
behind sits master the table writing the,the master sits behind the writing table,the master sits behind the writing table
twisted flax rope authority rope king power tethering / force strength,twisted flax rope tethering rope strength / force power king authority,twisted flax rope tethering rope strength / force power king authority
the soul horizon waits upon west the,the soul waits upon the west horizon,the soul waits upon the west horizon
sky soul (ba) star rises to,soul (ba) rises to sky star,soul (ba) rises to sky star
makes the for gate a town king,the king makes a gate for town,the king makes a gate for town
family home fire warmth gives to,fire gives warmth to family home,fire gives warmth to family home
life foot road journey town people,foot road journey town life people,foot road journey town life people
life people god great gives to the,the great god gives life to people,the great god gives life to people
the sky in king star sees the,the king sees the star in sky,the king sees the star in sky
/ house people seated stool mat man content seat peace / / throne life (satisfied),seat / throne stool / mat seated man house peace / content (satisfied) life people,seat / throne stool / mat seated man house peace / content (satisfied) life people
town behind people house back / road gate,behind / back house gate road town people,behind / back house gate road town people
repeated soil the plows man the black,the man plows repeated the black soil,the man plows repeated the black soil
king the behind the great stands servant,the servant stands behind the great king,the servant stands behind the great king
king house life of a makes the,the king makes a house of life,the king makes a house of life
field in woman the finds jar a,the woman finds a jar in field,the woman finds a jar in field
the man town old does to return,the old man does return to town,the old man does return to town
father the gives ring to child a,the father gives a ring to child,the father gives a ring to child
the gives stability to the king god,the god gives stability to the king,the god gives stability to the king
sees a beautiful the woman plant lotus,the woman sees a beautiful lotus plant,the beautiful woman sees a lotus plant
a to heart finds road city the,the heart finds a road to city,the heart finds a road to city
truth sees the of soul the face,the soul sees the face of truth,the soul sees the face of truth
the to life gives god great people,the great god gives life to people,the great god gives life to people
fear hears the voice of no lord,the lord hears no voice of fear,the lord hears no voice of fear
face on authority power throne (upon) god /,face / on (upon) god power authority throne,face / on (upon) god power authority throne
when house align peace fills hearts,peace fills house when hearts align,peace fills house when hearts align
the the beautiful face great sees god,the great god sees the beautiful face,the great god sees the beautiful face
to ring mother father a the gives,the father gives a ring to mother,the father gives a ring to mother
field power plows the with servant the,the servant plows the field with power,the servant plows the field with power
woman the milk the find jar does,the woman does find the milk jar,the woman does find the milk jar
bolt life people door peace satisfy heart house / gate,door bolt gate house peace / satisfy heart life people,door bolt gate house peace / satisfy heart life people
king temple great for builds god,king builds temple for great god,king builds temple for great god
bread loaf peace of offering god altar /,offering loaf of bread peace / altar god,offering loaf of bread peace / altar god
truth the people in temple find the,the people find truth in the temple,the people find truth in the temple
great throne upon god stability king / power seated (djed) / face mighty authority /,face / upon throne seated god / king power authority great / mighty stability (djed),face / upon throne seated god / king power authority great / mighty stability (djed)
plant field pellet / grain cut plows (tills),cut plant field plows (tills) grain / pellet,cut plant field plows (tills) grain / pellet
scribe jars the carries rack the in,the scribe carries the jars in rack,the scribe carries the jars in rack
river a finds stone in the woman,the woman finds a stone in river,the woman finds a stone in river
(satisfied) heart beautiful peace good / life content /,beautiful / good life peace / content (satisfied) heart,beautiful / good life peace / content (satisfied) heart
/ skins man three heart fox old venerated god marrow life people,three fox skins venerated / marrow old man heart life god people,three fox skins old man venerated / marrow heart life god people
bird scribe the head the of sees,the scribe sees the head of bird,the scribe sees the head of bird
master hoe uses for the a work,the master uses a hoe for work,the master uses a hoe for work
voice hears lord fear the no of,the lord hears no voice of fear,the lord hears no voice of fear
of soul sees face the the truth,the soul sees the face of truth,the soul sees the face of truth
a west in star sees soul the,the soul sees a star in west,the soul sees a star in west
field pellet / river water grain ripple,river water ripple field grain / pellet,river water ripple field grain / pellet
give justice / listen people king hear,king hear / listen people give justice,king hear / listen people give justice
people grain life / offering pellet food,grain / pellet life food offering people,grain / pellet life food offering people
old stool man the sits upon the,the old man sits upon the stool,the old man sits upon the stool
death life west after in continues,life continues after death in west,life continues after death in west
pellet people / jar offering in life god jars rack grain,grain / pellet jar jars in rack offering life people god,grain / pellet jar jars in rack offering life people god
sees horizon life star god above sky,above horizon sky star god life sees,above horizon sky star god life sees
finds the jar milk the servant now,the servant finds the milk jar now,the servant finds the milk jar now
of head the youth sees ox the,the youth sees the head of ox,the youth sees the head of ox
a carries rack jars in servant the,a servant carries the jars in rack,a servant carries the jars in rack
storm seeks man and shelter fears,man fears storm and seeks shelter,man fears storm and seeks shelter
god the world to peace the gives,the god gives peace to the world,the god gives peace to the world
deity authority / power big / god throne great,great / big god / deity power authority throne,great / big god / deity power authority throne
child begets gives birth mother life /,mother gives birth / begets child life,mother gives birth / begets child life
a sky soul swallow the of becomes,the soul becomes a swallow of sky,the soul becomes a swallow of sky
wood stool of the a finds servant,the servant finds a stool of wood,the servant finds a stool of wood
scroll scribe from a reads papyrus the,the scribe reads from a papyrus scroll,the scribe reads from a papyrus scroll
field does the the plow servant now,the servant does plow the field now,the servant does plow the field now
the field with servant hoe the plows,the servant plows the field with hoe,the servant plows the field with hoe
carries brick servant stone a heavy the,a servant carries the heavy stone brick,a servant carries the heavy stone brick
love peace heart / life satisfy people,people love life peace / satisfy heart,heart love peace / satisfy life people
people jar life water ripple vessel,jar vessel water ripple life people,jar vessel water ripple life people
youth head the bird of the finds,the youth finds the head of bird,the youth finds the head of bird
life power people city stone brick house / town,brick stone house city / town people life power,brick stone house city / town people life power
door (satisfied) / gate house bolt peace content,door bolt gate house peace / content (satisfied),door bolt gate house peace / content (satisfied)
life of symbol scarab becomes rebirth,scarab becomes life symbol of rebirth,scarab becomes life symbol of rebirth
a woman of jar finds the milk,the woman finds a jar of milk,the woman finds a jar of milk
heart force strength fear / fire storm,fire storm strength / force fear heart,fire storm fear strength / force heart
exists the great sky god the in,the great god exists in the sky,the great god guides the sky
servant the the jar milk now finds,the servant finds the milk jar now,the servant finds the milk jar now
the great the exists god in sky,the great god exists in the sky,the great god exists in the sky
content cloth house / people seat seated throne / (satisfied) peace man life folded,folded cloth seat / throne seated man house peace / content (satisfied) life people,folded cloth seat / throne seated man house peace / content (satisfied) life people
heart the the truth temple in finds,the heart finds truth in the temple,the heart finds truth in the temple
plant cobra emerges the from lotus the,the cobra emerges from the lotus plant,the cobra emerges from the lotus plant
the shelter cobra reed is under the,the cobra is under the reed shelter,the cobra is under the reed shelter
cobra the rope the is coil above,the cobra is above the coil rope,the cobra is above the coil rope
the hole cobra the from emerge does,the cobra does emerge from the hole,the cobra does emerge from the hole
handle life food with people basket offering,basket with handle offering food people life,basket with handle offering food people life
reed is the under cobra the shelter,the cobra is under the reed shelter,the cobra is under the reed shelter
finds the ba djed pillar soul the,the soul ba finds the djed pillar,the soul ba finds the djed pillar
emerges folded the from cloth the cobra,the cobra emerges from the folded cloth,the cobra emerges from the folded cloth
desert life west (ba) soul underground,desert underground west soul (ba) life,desert underground west soul (ba) life
bird youth finds the sky a of,the youth finds a bird of sky,the youth finds a bird of sky
under shelter reed cobra the the stays,the cobra stays under the reed shelter,the cobra stays under the reed shelter
through guides god underground dark soul,god guides soul through dark underground,god guides soul through dark underground
heart love life (ankh) mother father,father mother life (ankh) love heart,father mother life (ankh) love heart
god wisdom hears man old of,old man hears wisdom of god,old man hears wisdom of god
king mighty power (king) sedge / throne great,king sedge (king) power great / mighty throne,king sedge (king) power great / mighty throne
loaf bread gives father the of a,the father gives a loaf of bread,the father gives a loaf of bread
moves desert cobra hill the across the,the cobra moves across the desert hill,the cobra moves across the desert hill
woman sits the lotus the behind plant,the woman sits behind the lotus plant,the woman sits behind the lotus plant
the to servant authority the master gives,the master gives authority to the servant,the master gives authority to the servant
hoe / (tills) plows field pellet grain plant,hoe plows (tills) field plant grain / pellet,hoe plows (tills) field plant grain / pellet
under the cobra stays reed shelter the,the cobra stays under the reed shelter,the cobra stays under the reed shelter
throne / authority seat king throne power,authority power king throne seat / throne,authority power king throne seat / throne
of lord head sees the the ox,the lord sees the head of ox,the lord sees the head of ox
quail town chick life man youth people,quail chick youth life people town man,quail chick youth life people town man
the river swallow flies the above great,the great swallow flies above the river,the great swallow flies above the river
wisdom god man old hears of,old man hears wisdom of god,old man hears wisdom of god
milk the house carries youth jar the,the youth carries the milk jar house,the youth carries the milk jar house
lord holds town power authority of,lord of town holds authority power,lord of town holds authority power
king a brick the of city makes,the king makes a city of brick,the king makes a city of brick
cloth writes folded scribe upon the the,the scribe writes upon the folded cloth,the scribe writes upon the folded cloth
soul life (ba) west underground desert,desert underground west soul (ba) life,desert underground west soul (ba) life
the servant with plows great a strength,the servant plows with a great strength,the servant plows with a great strength
ring the woman town finds in a,the woman finds a ring in town,the woman finds a ring in town
in the a guides star desert man,a star guides the man in desert,a star guides the man in desert
finds the a house sickle in youth,the youth finds a sickle in house,the youth finds a sickle in house
gate people / town life road city,city / town gate road people life,city / town gate road people life
great sits the people the above king,the king sits above the great people,the king sits above the great people
see king of the people face the,the people see the face of king,the people see the face of king
the book of the scribe god reads,the scribe reads the book of god,the scribe reads the book of god
the djed stands the master behind pillar,the master stands behind the djed pillar,the master stands behind the djed pillar
god in the exists sky great the,the great god exists in the sky,the great god exists in the sky
work does great of master the a,the master does a work of great,the master does a work of great
horizon becomes of a road fire the,the horizon becomes a road of fire,the horizon becomes a road of fire
uses master hoe a the work for,the master uses a hoe for work,the master uses a hoe for work
symbol king of wears crown authority,king wears crown symbol of authority,king wears crown symbol of authority
gives the king the youth power to,the king gives power to the youth,the king gives power to the youth
loaf peace of / god bread offering altar,offering loaf of bread peace / altar god,offering loaf of bread peace / altar god
people protects / god power great mighty,god protects people great / mighty power,god protects people great / mighty power
writing book scribe knowledge / power scroll papyrus,book papyrus scroll writing / scribe knowledge power,book papyrus scroll writing / scribe knowledge power
the scribe brick wall a makes of,the scribe makes a wall of brick,the scribe makes a wall of brick
carries servant the heavy brick a stone,a servant carries the heavy stone brick,a servant carries the heavy stone brick
power god (ankh) (djed) people stability life,life (ankh) power god people stability (djed),life (ankh) power god people stability (djed)
mountain the behind the hides horizon sun,the horizon hides the sun behind mountain,the horizon hides the sun behind mountain
water servant the jar of a carries,the servant carries a jar of water,the servant carries a jar of water
way shows horizon city the the to,the horizon shows the way to city,the horizon shows the way to city
the great servant with strength plows a,the servant plows with a great strength,the servant plows with a great strength
rack cobra from a the emerges jar,the cobra emerges from a jar rack,the cobra emerges from a jar rack
grain of the a finds woman basket,the woman finds a basket of grain,the woman finds a basket of grain
the small youth quail the chick finds,the youth finds the small quail chick,the youth finds the small quail chick
hear people listen king give justice /,king hear / listen people give justice,king hear / listen people give justice
adze master to an gives servant the,the master gives an adze to servant,the master gives an adze to servant
servant holds now a tethering the rope,the servant holds a tethering rope now,the servant holds a tethering rope now
milk strong grows food with child,child grows strong with food milk,child grows strong with food milk
of god force / offering power peace ox / authority strength head altar,head of ox strength / force power authority god offering peace / altar,head of ox strength / force power authority god offering peace / altar
great beautiful the the god world makes,the great god makes the world beautiful,the great god makes the world beautiful
mountain storm great a emerges behind the,a great storm emerges behind the mountain,a great storm emerges behind the mountain
king sedge (king) great / throne mighty power,king sedge (king) power great / mighty throne,king sedge (king) power great / mighty throne
does woman the find jar milk the,the woman does find the milk jar,the woman does find the milk jar
the coil of rope servant carries a,the servant carries a coil of rope,the servant carries a coil of rope
makes the the god great beautiful world,the great god makes the world beautiful,the great god makes the world beautiful
makes wood gate the master of a,the master makes a gate of wood,the master makes a gate of wood
man the the authority gives to master,the master gives authority to the man,the master gives authority to the man
stool / satisfy seated / life mat heart peace man house,house stool / mat seated man peace / satisfy heart life,house stool / mat seated man peace / satisfy heart life
road father the the walks upon now,the father walks upon the road now,the father walks upon the road now
fear force storm heart fire / strength,fire storm fear strength / force heart,fire storm fear strength / force heart
sees the the quail small chick woman,the woman sees the small quail chick,the woman sees the small quail chick
bird fire becomes of soul a the,the soul becomes a bird of fire,the soul becomes a bird of fire
cry god the great hears heart the,the great god hears the heart cry,the great god hears the heart cry
brick scribe on the makes writing the,the scribe makes writing on the brick,the scribe makes writing on the brick
the field in a finds jar woman,the woman finds a jar in field,the woman finds a jar in field
(ba) underground emerge west god life soul power,underground west soul (ba) life god power emerge,underground west soul (ba) life god power emerge
temple authority adze god chisel power stone,chisel adze stone temple power authority god,chisel adze stone temple power authority god
scribe writing flax the makes twisted with,the scribe makes writing with twisted flax,the scribe makes writing with twisted flax
(satisfied) love heart peace / man content seated,seated man heart love peace / content (satisfied),seated man heart love peace / content (satisfied)
to gives servant master the the life,the master gives life to the servant,the master gives life to the servant
the youth house the milk jar carries,the youth carries the milk jar house,the youth carries the milk jar house
the woman to the bread youth gives,the woman gives bread to the youth,the woman gives bread to the youth
old man hear wisdom listen heart /,old man wisdom heart hear / listen,old man wisdom heart hear / listen
the town a people sees thousand father,the father sees a thousand people town,the father sees a thousand people town
authority the of servant the hears voice,the servant hears the voice of authority,the servant hears the voice of authority
finds to a the heart peace road,the heart finds a road to peace,the heart finds a road to peace
carries servant stone heavy the a brick,a servant carries the heavy stone brick,a servant carries the heavy stone brick
gives god peace to the the heart,the god gives peace to the heart,the god gives peace to the heart
loaf gives father bread the conical a,the father gives a conical loaf bread,the father gives a conical loaf bread
sees fly father the the great swallow,the father sees the great swallow fly,the father sees the great swallow fly
the the in finds rack jars youth,the youth finds the jars in rack,the youth finds the jars in rack
cloth the folded is the cobra under,the cobra is under the folded cloth,the cobra is under the folded cloth
milk the jar of gives a woman,the woman gives a jar of milk,the woman gives a jar of milk
heart woman life mother seated love people,seated woman mother life love heart people,seated woman mother life love heart people
makes on brick writing the master the,the master makes writing on the brick,the master makes writing on the brick
grain plant / pellet papyrus clump field offering life,papyrus clump field plant life grain / pellet offering,papyrus clump field plant life grain / pellet offering
road town gate riverbank people cross,cross road riverbank town people gate,cross road riverbank town people gate
sky horizon (ba) soul star,soul (ba) sky star horizon,soul (ba) sky star horizon
a woman the town finds in jar,the woman finds a jar in town,the woman finds a jar in town
town people a the makes for king,the king makes a town for people,the king makes a town for people
river people reach cross to town,people cross river to reach town,people cross river to reach town
of sees the face mother woman the,the woman sees the face of mother,the woman sees the face of mother
(ankh) heart life become scarab /,scarab / become life (ankh) heart,scarab / become life (ankh) heart
of scarab rebirth becomes symbol life,scarab becomes life symbol of rebirth,scarab becomes life symbol of rebirth
/ grain field plows offering pellet (tills),plows (tills) field grain / pellet offering,plows (tills) field grain / pellet offering
man wisdom old heart god,old man heart wisdom god,old man heart wisdom god
the a grain servant uses for hoe,the servant uses a hoe for grain,the servant uses a hoe for grain
life mother birth youth woman begets gives /,gives birth / begets mother woman life youth,gives birth / begets mother woman life youth
light god emerges from bringing horizon,god emerges from horizon bringing light,god emerges from horizon bringing light
horizon (ba) journey west god life soul underground,west horizon underground soul (ba) journey life god,west horizon underground soul (ba) journey life god
the the house great emerges from fire,the great fire emerges from the house,the great fire emerges from the house
field grain plows / (tills) pellet offering,plows (tills) field grain / pellet offering,plows (tills) field grain / pellet offering
folded the cobra the is under cloth,the cobra is under the folded cloth,the cobra is under the folded cloth
the woman the behind stays door house,the woman stays behind the house door,the woman stays behind the house door
swallow great fly sees the the king,the king sees the great swallow fly,the king sees the great swallow fly
in becomes soul star the sky a,the soul becomes a star in sky,the soul becomes a star in sky
town hoe the a carries servant to,the servant carries a hoe to town,the servant carries a hoe to town
/ people life grain offering food pellet,grain / pellet life food offering people,grain / pellet life food offering people
shelter content reed peace / (satisfied) people woman life man house,reed shelter house peace / content (satisfied) people life woman man,reed shelter house peace / content (satisfied) people life woman man
soul sky god (ba) life emerge star horizon,emerge horizon sky life god soul (ba) star,emerge horizon sky life god soul (ba) star
heart / life satisfy peace people,peace / satisfy heart people life,peace / satisfy heart people life
birth a a gives mother to youth,a mother gives birth to a youth,a mother gives birth to a youth
servant plows the field the again repeated,the servant plows repeated the field again,the servant plows repeated the field again
sees youth of head the the bird,the youth sees the head of bird,the youth sees the head of bird
the youth the bird does head see,the youth does see the head bird,the youth does see the head bird
man a hill old sees the desert,the old man sees a desert hill,the old man sees a desert hill
road horizon the a heart to finds,the heart finds a road to horizon,the heart finds a road to horizon
people heart youth life mother father placenta,father mother placenta youth life people heart,father mother placenta youth life people heart
the places altar on vessel master the,the master places the vessel on altar,the master places the vessel on altar
scribe skins finds three the the fox,the scribe finds the three fox skins,the scribe finds the three fox skins
of voice the people hears lord the,the lord hears the voice of people,the lord hears the voice of people
of head sees ox king the the,the king sees the head of ox,the king sees the head of ox
authority great throne power / king sedge mighty (king) god,sedge (king) throne power authority king god great / mighty,sedge (king) throne power authority king god great / mighty
king throne power / (king) great sedge mighty,king sedge (king) power great / mighty throne,sedge (king) throne power great / mighty
god life scribe people temple writing papyrus scroll book /,papyrus scroll writing / scribe book temple people life god,papyrus scroll writing / scribe book temple people life god
river ripple life water lake field,river lake water ripple life field,lake river water ripple life field
the field woman in finds stone a,the woman finds a stone in field,the woman finds a stone in field
desert hill road travel slope hill,hill slope road desert hill travel,hill slope road desert hill travel
the chick quail sees small woman the,the woman sees the small quail chick,the woman sees the small quail chick
the the all of servant hears lord,the servant hears the lord of all,the servant hears the lord of all
the face sees of the soul truth,the soul sees the face of truth,the soul sees the face of truth
